"state","fdid","fd_name","year","tesla","make","mob_model","mob_year","mob_vin_no","equip_inv","act_tak1","act_tak2","act_tak3"
"PA","40030","Hazleton Fire Department","2018","Other","Honda","",NULL,"","229","87","78",""
"AK","25150","Central MatSu FD","2018","Other","Other Make","Unknown",NULL,"","229","11","12","86"
"MA","17160","LOWELL","2018","Other","Ford","FUSION","2013","","229","11","",""
"FL","10282","BROWARD COUNTY FR EMS","2018","Other","MOBILE PROPERTY MAKE","",NULL,"","229","87","",""
"ID","01100","Boise City Fire Department","2018","Other","Other Make","","2005","","229","11","",""
"FL","10022","HALLANDALE BEACH FIRE RESCUE","2018","Other","Toyota","Coro",NULL,"","229","45","",""
"VA","67800","Lexington Fire Dept","2020","Other","Jeep","Liberty","2006","000000","229","12",NULL,NULL
"GA","12102","Augusta FD","2021","Other","Chrysler","Sebring","2007","1C3LC46K57N510754","229","11",NULL,NULL
"IL","DD392","WOOD DALE FPD","2020","Other","Ford","Taurus SE","2004","1FAFP53U74G109589","229","11","86","12"
"RI","02800","Providence Fire Dept","2020","Other","Ford","Explorer","2015","1FM5K8D80FGB55030","229","11","82",NULL
"IA","94007","FORT DODGE","2020","Other","Ford","E150 Cargo Van","2010","1FTNE1EWXADA14881","229","11",NULL,NULL
"VA","81000","Virginia Beach Fire Dept","2021","Other","Chevrolet","Cobalt","2008","1G1AM18BX87165540","229","87",NULL,NULL
"OH","83111","MASSIE TWP VOL FIRE DEPARTMENT","2020","Other","Chevrolet","cruz","2016","1G1PC5SB6F7198061","229","11",NULL,NULL
"TX","BV609","San Benito VFD","2019","Other","Cadillac","CTS","2003","1G6DM57N330128034","229","11","86",NULL
"AL","00313","TempFD","2021","Other","Chevrolet",NULL,NULL,"1GCEC19X54Z252203","229","11",NULL,NULL
"CA","40080","SAN LUIS OBISPO CFD","2020","Other","Chevrolet","Silverado","2002","1GCH2913E277199","229","11",NULL,NULL
"MN","62210","ST PAUL FIRE DEPT","2019","Other","Chevrolet","TRAILBLAZER","2004","1GNDT13S442166518","229","11",NULL,NULL
"SC","07121","Hilton Head Island FR","2019","Other","Chevrolet","C15","1986","1GTDC14H3GF733133","229","86","45",NULL
"IL","SB111","SPRINGFIELD FD","2020","Other","Chevrolet","Silverado","1993","1GTGC24NXPE526477","229","11",NULL,NULL
"MA","27241","PRINCETON","2020","Other","GMC (General Motors)","VAN SAVANNA","2005","1GTHG35U251112490","229","11",NULL,NULL
"CA","33035","ELSINORE FD","2021","Other","Honda","Civic","1999","1HGEJ7120TL079735","229","11",NULL,NULL
"LA","36001","NEW ORLEANS FIRE DEPT","2018","Other","Nissan","Alti","2007","1N4AL11D96N436544","229","86","",""
"FL","26032","OSCEOLA CO FIRERESCUE","2018","Other","Volkswagen","Pass","2016","1VWBT7A35GC030098","229","11","86",""
"MN","19316","SOUTH METRO FIRE DEPT","2020","Other","Dodge","Dodge","2008","2B3KA43G18H269901","229","11",NULL,NULL
"FL","10282","BROWARD COUNTY FR EMS","2020","Other","Dodge","Char","2009","2B3LA43D89H636336","229","11","52",NULL
"OR","00569","Eugene Springfield Fire","2021","Other","Chrysler","300","2005","2C3LA53G06H102343","229","11",NULL,NULL
"MA","09291","SWAMPSCOTT","2018","Other","Ford","F150","2000","2FTZF0721YCA76084","229","11","",""
"GA","01101","MaconBibb Fire Department","2021","Other","Chevrolet","CAPRICE","1983","2G1AN69H1D1227282","229","11",NULL,NULL
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2019","Other","Honda","Civic",NULL,"2H6EJ2241PH519578","229","86",NULL,NULL
"CA","33010","BEAUMONT FD","2020","Other","Honda","Civic","2006","2HGFG11637H533062","229","87",NULL,NULL
"MA","17160","LOWELL","2018","Other","Dodge","RAM UTILITY COMMERCIAL VE","2014","3C6TRVNG5EE112532","229","70","11","86"
"OH","17001","BUCYRUS FIRE DEPARTMENT","2021","Other","Toyota","Avalon","2000","4T1BF23B0YU013632","229","11",NULL,NULL
"FL","06301","PALM BEACH CO FIRE RESCUE","2018","Other","Toyota","toyota corolla","2000","4T1BG22K6YU933853","229","11","",""
"FL","06301","PALM BEACH CO FIRE RESCUE","2021","Other","Toyota","Camry","2000","4T1BGZZKIYV931037","229","11",NULL,NULL
"CA","37085","IMPERIAL BEACH FD","2020","Other","Toyota","Tacoma","1996","4TANL42N1TZ177651","229","11",NULL,NULL
"FL","19072","MELBOURNE FIRE DEPARTMENT","2018","Other","MOBILE PROPERTY MAKE","Forest River 34SATS","2008","4X4FCRK299S202206","229","11","",""
"ID","79234","SHOSHONE CO FPD2","2021","Other",NULL,"Platinum Wildwood FSX","2021","4X4TWDT1XMY097118","229","11",NULL,NULL
"IL","MH163","GOOD HOPESCIOTA FPD","2021","Other","Other Make",NULL,"2018","50BXE2029JA005848","229","11","12",NULL
"ME","C2420","Freeport Fire Department","2018","Other","UD","GATO","2014","54GVC16T8E7009871","229","11","",""
"KY","56290","LOUISVILLE","2018","Other","Hyundai","Santa Fe","2007","5NMSG13D27H113225","229","87","",""
"MN","31108","KEEWATIN FIRE DEPT","2021","Other","Toyota","Tacoma","2008","5TEMU52N082589557","229","10","12",NULL
"CA","44045","PAJARO VALLEY FIRE PROT AGENCY","2020","Other","Toyota","Tacoma","2001","5TEVL52N412720330","229","11","80",NULL
"OH","77001","AKRON FIRE DEPARTMENT","2021","Other","BMW","X6","2021","5UXCY6CO6M9G9","229","11",NULL,NULL
"FL","10172","POMPANO BEACH FIRERESCUE","2020","Other","BMW","X","2014","5UXKROC55FOK64943","229","11","12",NULL
"CA","49145","SANTA ROSA FD","2021","Other","Kia","Opti","2017","5XXGT4L37HG143461","229","86",NULL,NULL
"MI","02507","Flint FD","2020","Other","Chrysler","New yorker","1977","CS23T7C178157","229","11","86",NULL
"PA","48010","Bethlehem Fire Department","2020","Other","Kawasaki","500","2002","EX500AE276301","229","86",NULL,NULL
"MA","17160","LOWELL","2020","Other","Honda","ACCORD","1999","JHMCG6673XC023361","229","11",NULL,NULL
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2021","Other","Mazda","MIATA","1992","JM1NB3536X0119606","229","86","10","12"
"MI","02526","GAINES TOWNSHIP FIRE DEPT","2020","Other","Nissan","JN1CA31D3YT532966","1999","JN1CA31D3YT532966","229","12",NULL,NULL
"CA","19110","LOS ANGELES COUNTY FD","2021","Other","Nissan","Rogue","2016","JN8AT2MV1GW144035","229","11",NULL,NULL
"AL","00313","TempFD","2021","Other","Toyota","Camery","2000","JT2BG222KX0426670","229","11",NULL,NULL
"CA","33090","RIVERSIDE CFD","2020","Other","Toyota","4 Runner","1988","JT4RN81A5193874","229","11",NULL,NULL
"CA","41095","SOUTH SAN FRANCISCO FD","2020","Other","Lexus","GS30","2004","JT8BD69S740194924","229","11",NULL,NULL
"HI","52000","Honolulu Fire Department","2020","Other","Toyota","Coro","2006","JTDBR32E06006039","229","11","81",NULL
"CA","01010","ALBANY FD","2020","Other","Toyota","Priu","2013","JTDZN3EU8E3305807","229","86","11","45"
"MN","62103","LITTLE CANADA FIRE DEPT","2019","Other","Toyota","RAV 4","2010","JTMBF4DV4AD03","229","11",NULL,NULL
"GA","03301","Cobb Co Fire Dept","2020","Other","Kia","RONDO EX","2007","KNAFG525477034713","229","11","51",NULL
"MA","09116","GROVELAND","2021","Other","Ford","Transit Connect Van","2012","NMOLS7BN6CT118238","229","11",NULL,NULL
"NE","59003","Papillion Fire Rescue Dept","2021","Other","Mazda","6","2005","TYVHP80C155H11953","229","81","86",NULL
"OH","49109","JEFFERSON TWP FIRE DEPARTMENT","2019","Other","Subaru","Unknown",NULL,"Unknown","229","86",NULL,NULL
"NE","02006","Lincoln Fire Rescue","2020","Other","BMW","5301","2003","WBANA73574B058312","229","11",NULL,NULL
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2018","Other","BMW","335","2007","WBAWB73567P034205","229","11","",""
"OH","42115","CENTRAL OHIO JT FIRE DISTRICT","2021","Other","Other Make","coronado","1993",NULL,"229","11","12","74"
"PA","48010","Bethlehem Fire Department","2019","Other","Hyundai","Santa Fe","2009",NULL,"229","11","86","81"
"KS","SN101","Topeka Fire Department","2021","Other","Nissan","maxima","2000",NULL,"229","87",NULL,NULL
"WV","52106","New Martinsville Fire Dept","2019","Other",NULL,NULL,NULL,NULL,"229","11",NULL,NULL
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2020","Other","Subaru",NULL,NULL,NULL,"229","11","12","86"
"MO","02601","Jefferson City Fire Department","2019","Other","Honda","Odysey","2011",NULL,"229","11","86",NULL
"MA","25248","REVERE","2020","Other","Chevrolet","1500","1998",NULL,"229","11",NULL,NULL
"VA","02101","Bland Co Vol Fire Dept","2019","Other",NULL,NULL,NULL,NULL,"229","11","12","46"
"OH","48011","OREGON FIRE DEPARTMENT","2021","Other",NULL,NULL,NULL,NULL,"229","87",NULL,NULL
"TN","79553","Memphis Fire Department","2021","Other","Pontiac","G6","2008",NULL,"229","11",NULL,NULL
"CA","19110","LOS ANGELES COUNTY FD","2021","Other","Hyundai","accent","2009",NULL,"229","11",NULL,NULL
"CA","10095","SELMA FD","2020","Other","Toyota","CORR","1992",NULL,"229","11",NULL,NULL
"AZ","15032","San Luis Fire Department","2020","Other","Nissan","Maxiuam","2008",NULL,"229","81",NULL,NULL
"CA","37085","IMPERIAL BEACH FD","2020","Other","Buick","Regal","1979",NULL,"229","11","80",NULL
"FL","41012","FERNANDINA BCH MUNICIPAL FD","2021","Other",NULL,NULL,NULL,NULL,"229","86",NULL,NULL
"SC","46116","ROCK HILL FIRE DEPT","2019","Other","Toyota","corola","2016",NULL,"229","00",NULL,NULL
"FL","18092","FT MYERS FD","2021","Other","Mitsubishi","Marage",NULL,NULL,"229","86",NULL,NULL
"OR","00024","Bend FD","2021","Other",NULL,NULL,NULL,NULL,"229","11",NULL,NULL
"CA","30020","COSTA MESA FD","2021","Other","Chrysler","300","2009",NULL,"229","11",NULL,NULL
"CO","04525","COLORADO RIVER FIRE RESCUE","2021","Other","Honda","Rav 4",NULL,NULL,"229","11",NULL,NULL
"GA","03301","Cobb Co Fire Dept","2020","Other","Dodge","Grand Caravan",NULL,NULL,"229","11",NULL,NULL
"GA","03604","MartinezColumbia Fire Rescue","2021","Other","Ford","Mustang",NULL,NULL,"229",NULL,NULL,NULL
"MN","55205","ROCHESTER FIRE DEPT","2019","Other",NULL,NULL,NULL,NULL,"229","86","12","11"
