"year","inc_type","prop_use","fires","battery"
"2002","Mobile property (vehicle) fire","Outside or special property","8705","4"
"2002","Mobile property (vehicle) fire","Parking","20999","8"
"2002","Mobile property (vehicle) fire","PROPERTY USE","1218","0"
"2002","Mobile property (vehicle) fire","Residential","7670","4"
"2002","Mobile property (vehicle) fire","Roadway","68957","14"
"2002","Mobile property (vehicle) fire","Storage","876","0"
"2002","Mobile property (vehicle) fire",NULL,"13818","3"
"2002","Natural vegetation fire","Assembly","1402","0"
"2002","Natural vegetation fire","Educational","502","0"
"2002","Natural vegetation fire","Health Care, Detention & Correction","220","0"
"2002","Natural vegetation fire","Industrial, Utility, Defense, Agriculture, Mining","5525","0"
"2002","Natural vegetation fire","Manufacturing, processing","238","0"
"2002","Natural vegetation fire","Mercantile, Business","1586","0"
"2002","Natural vegetation fire","Outside or special property","54041","0"
"2002","Natural vegetation fire","Parking","1530","0"
"2002","Natural vegetation fire","PROPERTY USE","998","0"
"2002","Natural vegetation fire","Residential","10445","0"
"2002","Natural vegetation fire","Roadway","12404","0"
"2002","Natural vegetation fire","Storage","421","0"
"2002","Natural vegetation fire",NULL,"8201","0"
"2002","Outside rubbish fire","Assembly","907","0"
"2002","Outside rubbish fire","Educational","656","0"
"2002","Outside rubbish fire","Health Care, Detention & Correction","118","0"
"2002","Outside rubbish fire","Industrial, Utility, Defense, Agriculture, Mining","341","0"
"2002","Outside rubbish fire","Manufacturing, processing","391","0"
"2002","Outside rubbish fire","Mercantile, Business","1608","0"
"2002","Outside rubbish fire","Outside or special property","7998","0"
"2002","Outside rubbish fire","Parking","3554","0"
"2002","Outside rubbish fire","PROPERTY USE","689","0"
"2002","Outside rubbish fire","Residential","6951","0"
"2002","Outside rubbish fire","Roadway","5689","0"
"2002","Outside rubbish fire","Storage","523","0"
"2002","Outside rubbish fire",NULL,"3079","0"
"2002","Special outside fire","Assembly","513","0"
"2002","Special outside fire","Educational","215","0"
"2002","Special outside fire","Health Care, Detention & Correction","88","0"
"2002","Special outside fire","Industrial, Utility, Defense, Agriculture, Mining","828","0"
"2002","Special outside fire","Manufacturing, processing","327","0"
"2002","Special outside fire","Mercantile, Business","748","0"
"2002","Special outside fire","Outside or special property","3755","0"
"2002","Special outside fire","Parking","522","0"
"2002","Special outside fire","PROPERTY USE","38","0"
"2002","Special outside fire","Residential","3273","0"
"2002","Special outside fire","Roadway","2045","0"
"2002","Special outside fire","Storage","885","0"
"2002","Special outside fire",NULL,"911","0"
"2002","Structure Fire","Assembly","4991","0"
"2002","Structure Fire","Educational","2172","0"
"2002","Structure Fire","Health Care, Detention & Correction","2180","0"
"2002","Structure Fire","Industrial, Utility, Defense, Agriculture, Mining","1189","0"
"2002","Structure Fire","Manufacturing, processing","3232","1"
"2002","Structure Fire","Mercantile, Business","7801","2"
"2002","Structure Fire","Outside or special property","1349","0"
"2002","Structure Fire","Parking","4496","0"
"2002","Structure Fire","PROPERTY USE","883","0"
"2002","Structure Fire","Residential","119237","2"
"2002","Structure Fire","Roadway","1733","0"
"2002","Structure Fire","Storage","7978","1"
"2002","Structure Fire",NULL,"4991","0"
"2002",NULL,"Residential","1","0"
"2003","Cultivated vegetation, crop fire","Assembly","292","0"
"2003","Cultivated vegetation, crop fire","Educational","132","0"
"2003","Cultivated vegetation, crop fire","Health Care, Detention & Correction","39","0"
"2003","Cultivated vegetation, crop fire","Industrial, Utility, Defense, Agriculture, Mining","1400","0"
"2003","Cultivated vegetation, crop fire","Manufacturing, processing","111","0"
"2003","Cultivated vegetation, crop fire","Mercantile, Business","363","0"
"2003","Cultivated vegetation, crop fire","Outside or special property","3891","0"
"2003","Cultivated vegetation, crop fire","Parking","471","0"
"2003","Cultivated vegetation, crop fire","PROPERTY USE","70","0"
"2003","Cultivated vegetation, crop fire","Residential","1847","0"
"2003","Cultivated vegetation, crop fire","Roadway","1188","0"
"2003","Cultivated vegetation, crop fire","Storage","397","0"
"2003","Cultivated vegetation, crop fire",NULL,"576","0"
"2003","Fire in mobile property used as a fixed structure","Assembly","59","0"
"2003","Fire in mobile property used as a fixed structure","Educational","43","0"
"2003","Fire in mobile property used as a fixed structure","Health Care, Detention & Correction","10","0"
"2003","Fire in mobile property used as a fixed structure","Industrial, Utility, Defense, Agriculture, Mining","46","0"
"2003","Fire in mobile property used as a fixed structure","Manufacturing, processing","26","0"
"2003","Fire in mobile property used as a fixed structure","Mercantile, Business","112","0"
"2003","Fire in mobile property used as a fixed structure","Outside or special property","354","0"
"2003","Fire in mobile property used as a fixed structure","Parking","98","0"
"2003","Fire in mobile property used as a fixed structure","PROPERTY USE","81","0"
"2003","Fire in mobile property used as a fixed structure","Residential","7559","0"
"2003","Fire in mobile property used as a fixed structure","Roadway","265","0"
"2003","Fire in mobile property used as a fixed structure","Storage","341","0"
"2003","Fire in mobile property used as a fixed structure",NULL,"329","1"
"2003","Fire, other","Assembly","433","0"
"2003","Fire, other","Educational","256","0"
"2003","Fire, other","Health Care, Detention & Correction","221","0"
"2003","Fire, other","Industrial, Utility, Defense, Agriculture, Mining","269","0"
"2003","Fire, other","Manufacturing, processing","370","0"
"2003","Fire, other","Mercantile, Business","664","0"
"2003","Fire, other","Outside or special property","1036","0"
"2003","Fire, other","Parking","179","0"
"2003","Fire, other","PROPERTY USE","73","0"
"2003","Fire, other","Residential","5579","0"
"2003","Fire, other","Roadway","885","1"
"2003","Fire, other","Storage","208","0"
"2003","Fire, other",NULL,"1023","0"
"2003","Mobile property (vehicle) fire","Assembly","1450","2"
"2003","Mobile property (vehicle) fire","Educational","561","0"
"2003","Mobile property (vehicle) fire","Health Care, Detention & Correction","344","0"
"2003","Mobile property (vehicle) fire","Industrial, Utility, Defense, Agriculture, Mining","1571","0"
"2003","Mobile property (vehicle) fire","Manufacturing, processing","588","1"
"2003","Mobile property (vehicle) fire","Mercantile, Business","6959","1"
"2003","Mobile property (vehicle) fire","Outside or special property","10578","2"
"2003","Mobile property (vehicle) fire","Parking","24396","4"
"2003","Mobile property (vehicle) fire","PROPERTY USE","743","0"
"2003","Mobile property (vehicle) fire","Residential","9082","2"
"2003","Mobile property (vehicle) fire","Roadway","79693","19"
"2003","Mobile property (vehicle) fire","Storage","972","0"
"2003","Mobile property (vehicle) fire",NULL,"18497","3"
"2003","Natural vegetation fire","Assembly","1344","0"
"2003","Natural vegetation fire","Educational","601","0"
"2003","Natural vegetation fire","Health Care, Detention & Correction","232","0"
"2003","Natural vegetation fire","Industrial, Utility, Defense, Agriculture, Mining","5411","0"
"2003","Natural vegetation fire","Manufacturing, processing","201","0"
"2003","Natural vegetation fire","Mercantile, Business","1499","0"
"2003","Natural vegetation fire","Outside or special property","57436","0"
"2003","Natural vegetation fire","Parking","1471","0"
"2003","Natural vegetation fire","PROPERTY USE","544","0"
"2003","Natural vegetation fire","Residential","11311","0"
"2003","Natural vegetation fire","Roadway","13017","1"
"2003","Natural vegetation fire","Storage","413","0"
"2003","Natural vegetation fire",NULL,"8436","0"
"2003","Outside rubbish fire","Assembly","930","0"
"2003","Outside rubbish fire","Educational","656","0"
"2003","Outside rubbish fire","Health Care, Detention & Correction","94","0"
"2003","Outside rubbish fire","Industrial, Utility, Defense, Agriculture, Mining","295","0"
"2003","Outside rubbish fire","Manufacturing, processing","329","0"
"2003","Outside rubbish fire","Mercantile, Business","1423","0"
"2003","Outside rubbish fire","Outside or special property","7320","0"
"2003","Outside rubbish fire","Parking","3282","0"
"2003","Outside rubbish fire","PROPERTY USE","402","0"
"2003","Outside rubbish fire","Residential","6290","0"
"2003","Outside rubbish fire","Roadway","5239","0"
"2003","Outside rubbish fire","Storage","491","0"
"2003","Outside rubbish fire",NULL,"2174","0"
"2003","Special outside fire","Assembly","582","0"
"2003","Special outside fire","Educational","271","0"
"2003","Special outside fire","Health Care, Detention & Correction","99","0"
"2003","Special outside fire","Industrial, Utility, Defense, Agriculture, Mining","974","0"
"2003","Special outside fire","Manufacturing, processing","407","0"
"2003","Special outside fire","Mercantile, Business","918","0"
"2003","Special outside fire","Outside or special property","4622","0"
"2003","Special outside fire","Parking","642","1"
"2003","Special outside fire","PROPERTY USE","28","0"
"2003","Special outside fire","Residential","3886","0"
"2003","Special outside fire","Roadway","2840","1"
"2003","Special outside fire","Storage","1133","0"
"2003","Special outside fire",NULL,"1171","0"
"2003","Structure Fire","Assembly","5721","0"
"2003","Structure Fire","Educational","2571","0"
"2003","Structure Fire","Health Care, Detention & Correction","2276","0"
"2003","Structure Fire","Industrial, Utility, Defense, Agriculture, Mining","1499","1"
"2003","Structure Fire","Manufacturing, processing","3649","0"
"2003","Structure Fire","Mercantile, Business","9459","0"
"2003","Structure Fire","Outside or special property","1698","0"
"2003","Structure Fire","Parking","5313","2"
"2003","Structure Fire","PROPERTY USE","825","0"
"2003","Structure Fire","Residential","140796","7"
"2003","Structure Fire","Roadway","2390","0"
"2003","Structure Fire","Storage","8964","0"
"2003","Structure Fire",NULL,"5453","0"
"2003",NULL,"Roadway","1","0"
"2004","Cultivated vegetation, crop fire","Assembly","235","0"
"2004","Cultivated vegetation, crop fire","Educational","77","0"
"2004","Cultivated vegetation, crop fire","Health Care, Detention & Correction","28","0"
"2004","Cultivated vegetation, crop fire","Industrial, Utility, Defense, Agriculture, Mining","1158","0"
"2004","Cultivated vegetation, crop fire","Manufacturing, processing","81","0"
"2004","Cultivated vegetation, crop fire","Mercantile, Business","327","0"
"2004","Cultivated vegetation, crop fire","Outside or special property","3261","0"
"2004","Cultivated vegetation, crop fire","Parking","339","0"
"2004","Cultivated vegetation, crop fire","PROPERTY USE","37","0"
"2004","Cultivated vegetation, crop fire","Residential","1401","0"
"2004","Cultivated vegetation, crop fire","Roadway","1088","0"
"2004","Cultivated vegetation, crop fire","Storage","297","0"
"2004","Cultivated vegetation, crop fire",NULL,"581","0"
"2004","Fire in mobile property used as a fixed structure","Assembly","73","0"
"2004","Fire in mobile property used as a fixed structure","Educational","55","0"
"2004","Fire in mobile property used as a fixed structure","Health Care, Detention & Correction","8","0"
"2004","Fire in mobile property used as a fixed structure","Industrial, Utility, Defense, Agriculture, Mining","36","0"
"2004","Fire in mobile property used as a fixed structure","Manufacturing, processing","28","0"
"2004","Fire in mobile property used as a fixed structure","Mercantile, Business","113","0"
"2004","Fire in mobile property used as a fixed structure","Outside or special property","377","1"
"2004","Fire in mobile property used as a fixed structure","Parking","135","0"
"2004","Fire in mobile property used as a fixed structure","PROPERTY USE","64","0"
"2004","Fire in mobile property used as a fixed structure","Residential","8284","0"
"2004","Fire in mobile property used as a fixed structure","Roadway","281","0"
"2004","Fire in mobile property used as a fixed structure","Storage","390","0"
"2004","Fire in mobile property used as a fixed structure",NULL,"435","0"
"2004","Fire, other","Assembly","407","0"
"2004","Fire, other","Educational","249","0"
"2004","Fire, other","Health Care, Detention & Correction","227","0"
"2004","Fire, other","Industrial, Utility, Defense, Agriculture, Mining","229","0"
"2004","Fire, other","Manufacturing, processing","375","0"
"2004","Fire, other","Mercantile, Business","656","0"
"2004","Fire, other","Outside or special property","978","0"
"2004","Fire, other","Parking","181","1"
"2004","Fire, other","PROPERTY USE","62","0"
"2004","Fire, other","Residential","5308","0"
"2004","Fire, other","Roadway","711","0"
"2004","Fire, other","Storage","239","0"
"2004","Fire, other",NULL,"1088","0"
"2004","Mobile property (vehicle) fire","Assembly","1508","2"
"2004","Mobile property (vehicle) fire","Educational","506","0"
"2004","Mobile property (vehicle) fire","Health Care, Detention & Correction","362","0"
"2004","Mobile property (vehicle) fire","Industrial, Utility, Defense, Agriculture, Mining","1640","0"
"2004","Mobile property (vehicle) fire","Manufacturing, processing","701","1"
"2004","Mobile property (vehicle) fire","Mercantile, Business","7283","3"
"2004","Mobile property (vehicle) fire","Outside or special property","10725","1"
"2004","Mobile property (vehicle) fire","Parking","24830","8"
"2004","Mobile property (vehicle) fire","PROPERTY USE","399","0"
"2004","Mobile property (vehicle) fire","Residential","8912","2"
"2004","Mobile property (vehicle) fire","Roadway","76861","16"
"2004","Mobile property (vehicle) fire","Storage","991","0"
"2004","Mobile property (vehicle) fire",NULL,"18654","0"
"2004","Natural vegetation fire","Assembly","1389","0"
"2004","Natural vegetation fire","Educational","519","0"
"2004","Natural vegetation fire","Health Care, Detention & Correction","273","0"
"2004","Natural vegetation fire","Industrial, Utility, Defense, Agriculture, Mining","5533","0"
"2004","Natural vegetation fire","Manufacturing, processing","189","0"
"2004","Natural vegetation fire","Mercantile, Business","2048","0"
"2004","Natural vegetation fire","Outside or special property","60824","0"
"2004","Natural vegetation fire","Parking","2008","0"
"2004","Natural vegetation fire","PROPERTY USE","542","0"
"2004","Natural vegetation fire","Residential","12446","0"
"2004","Natural vegetation fire","Roadway","13785","0"
"2004","Natural vegetation fire","Storage","343","0"
"2004","Natural vegetation fire",NULL,"9426","0"
"2004","Outside rubbish fire","Assembly","720","0"
"2004","Outside rubbish fire","Educational","598","0"
"2004","Outside rubbish fire","Health Care, Detention & Correction","81","0"
"2004","Outside rubbish fire","Industrial, Utility, Defense, Agriculture, Mining","266","0"
"2004","Outside rubbish fire","Manufacturing, processing","272","0"
"2004","Outside rubbish fire","Mercantile, Business","1329","0"
"2004","Outside rubbish fire","Outside or special property","7426","0"
"2004","Outside rubbish fire","Parking","3064","0"
"2004","Outside rubbish fire","PROPERTY USE","261","0"
"2004","Outside rubbish fire","Residential","5495","0"
"2004","Outside rubbish fire","Roadway","4321","0"
"2004","Outside rubbish fire","Storage","412","0"
"2004","Outside rubbish fire",NULL,"2765","0"
"2004","Special outside fire","Assembly","664","0"
"2004","Special outside fire","Educational","294","0"
"2004","Special outside fire","Health Care, Detention & Correction","117","0"
"2004","Special outside fire","Industrial, Utility, Defense, Agriculture, Mining","1020","0"
"2004","Special outside fire","Manufacturing, processing","406","0"
"2004","Special outside fire","Mercantile, Business","1060","0"
"2004","Special outside fire","Outside or special property","5182","0"
"2004","Special outside fire","Parking","734","0"
"2004","Special outside fire","PROPERTY USE","17","0"
"2004","Special outside fire","Residential","4088","1"
"2004","Special outside fire","Roadway","2924","1"
"2004","Special outside fire","Storage","1338","0"
"2004","Special outside fire",NULL,"1320","0"
"2004","Structure Fire","Assembly","5443","0"
"2004","Structure Fire","Educational","2464","1"
"2004","Structure Fire","Health Care, Detention & Correction","2250","1"
"2004","Structure Fire","Industrial, Utility, Defense, Agriculture, Mining","1632","0"
"2004","Structure Fire","Manufacturing, processing","3825","1"
"2004","Structure Fire","Mercantile, Business","9360","3"
"2004","Structure Fire","Outside or special property","1563","0"
"2004","Structure Fire","Parking","4731","2"
"2004","Structure Fire","PROPERTY USE","736","0"
"2004","Structure Fire","Residential","141100","4"
"2004","Structure Fire","Roadway","2481","0"
"2004","Structure Fire","Storage","9517","2"
"2004","Structure Fire",NULL,"5117","0"
"2005","Cultivated vegetation, crop fire","Assembly","148","0"
"2005","Cultivated vegetation, crop fire","Educational","73","0"
"2005","Cultivated vegetation, crop fire","Health Care, Detention & Correction","29","0"
"2005","Cultivated vegetation, crop fire","Industrial, Utility, Defense, Agriculture, Mining","1371","0"
"2005","Cultivated vegetation, crop fire","Manufacturing, processing","79","0"
"2005","Cultivated vegetation, crop fire","Mercantile, Business","268","0"
"2005","Cultivated vegetation, crop fire","Outside or special property","2971","0"
"2005","Cultivated vegetation, crop fire","Parking","258","0"
"2005","Cultivated vegetation, crop fire","PROPERTY USE","36","0"
"2005","Cultivated vegetation, crop fire","Residential","1124","0"
"2005","Cultivated vegetation, crop fire","Roadway","701","0"
"2005","Cultivated vegetation, crop fire","Storage","209","0"
"2005","Cultivated vegetation, crop fire",NULL,"419","0"
"2005","Fire in mobile property used as a fixed structure","Assembly","82","0"
"2005","Fire in mobile property used as a fixed structure","Educational","79","0"
"2005","Fire in mobile property used as a fixed structure","Health Care, Detention & Correction","12","0"
"2005","Fire in mobile property used as a fixed structure","Industrial, Utility, Defense, Agriculture, Mining","48","1"
"2005","Fire in mobile property used as a fixed structure","Manufacturing, processing","31","0"
"2005","Fire in mobile property used as a fixed structure","Mercantile, Business","153","0"
"2005","Fire in mobile property used as a fixed structure","Outside or special property","498","0"
"2005","Fire in mobile property used as a fixed structure","Parking","172","0"
"2005","Fire in mobile property used as a fixed structure","PROPERTY USE","113","0"
"2005","Fire in mobile property used as a fixed structure","Residential","8547","2"
"2005","Fire in mobile property used as a fixed structure","Roadway","387","0"
"2005","Fire in mobile property used as a fixed structure","Storage","504","0"
"2005","Fire in mobile property used as a fixed structure",NULL,"431","0"
"2005","Fire, other","Assembly","462","0"
"2005","Fire, other","Educational","226","0"
"2005","Fire, other","Health Care, Detention & Correction","225","0"
"2005","Fire, other","Industrial, Utility, Defense, Agriculture, Mining","242","0"
"2005","Fire, other","Manufacturing, processing","394","0"
"2005","Fire, other","Mercantile, Business","764","1"
"2005","Fire, other","Outside or special property","1263","0"
"2005","Fire, other","Parking","234","0"
"2005","Fire, other","PROPERTY USE","86","0"
"2005","Fire, other","Residential","5684","1"
"2005","Fire, other","Roadway","873","0"
"2005","Fire, other","Storage","216","0"
"2005","Fire, other",NULL,"1349","0"
"2005","Mobile property (vehicle) fire","Assembly","1652","0"
"2005","Mobile property (vehicle) fire","Educational","653","0"
"2005","Mobile property (vehicle) fire","Health Care, Detention & Correction","414","0"
"2005","Mobile property (vehicle) fire","Industrial, Utility, Defense, Agriculture, Mining","1859","0"
"2005","Mobile property (vehicle) fire","Manufacturing, processing","579","0"
"2005","Mobile property (vehicle) fire","Mercantile, Business","7943","3"
"2005","Mobile property (vehicle) fire","Outside or special property","12496","2"
"2005","Mobile property (vehicle) fire","Parking","28383","8"
"2005","Mobile property (vehicle) fire","PROPERTY USE","344","0"
"2005","Mobile property (vehicle) fire","Residential","9815","1"
"2005","Mobile property (vehicle) fire","Roadway","84834","44"
"2005","Mobile property (vehicle) fire","Storage","1131","0"
"2005","Mobile property (vehicle) fire",NULL,"18585","2"
"2005","Natural vegetation fire","Assembly","2108","0"
"2005","Natural vegetation fire","Educational","791","0"
"2005","Natural vegetation fire","Health Care, Detention & Correction","424","0"
"2005","Natural vegetation fire","Industrial, Utility, Defense, Agriculture, Mining","6737","0"
"2005","Natural vegetation fire","Manufacturing, processing","237","0"
"2005","Natural vegetation fire","Mercantile, Business","3004","0"
"2005","Natural vegetation fire","Outside or special property","86341","0"
"2005","Natural vegetation fire","Parking","3236","0"
"2005","Natural vegetation fire","PROPERTY USE","769","0"
"2005","Natural vegetation fire","Residential","15970","0"
"2005","Natural vegetation fire","Roadway","19409","0"
"2005","Natural vegetation fire","Storage","483","0"
"2005","Natural vegetation fire",NULL,"13483","0"
"2005","Outside rubbish fire","Assembly","807","0"
"2005","Outside rubbish fire","Educational","642","0"
"2005","Outside rubbish fire","Health Care, Detention & Correction","104","0"
"2005","Outside rubbish fire","Industrial, Utility, Defense, Agriculture, Mining","315","0"
"2005","Outside rubbish fire","Manufacturing, processing","318","0"
"2005","Outside rubbish fire","Mercantile, Business","1429","0"
"2005","Outside rubbish fire","Outside or special property","8601","0"
"2005","Outside rubbish fire","Parking","3726","0"
"2005","Outside rubbish fire","PROPERTY USE","221","0"
"2005","Outside rubbish fire","Residential","5752","0"
"2005","Outside rubbish fire","Roadway","6195","0"
"2005","Outside rubbish fire","Storage","530","0"
"2005","Outside rubbish fire",NULL,"2237","0"
"2005","Special outside fire","Assembly","825","1"
"2005","Special outside fire","Educational","423","0"
"2005","Special outside fire","Health Care, Detention & Correction","115","0"
"2005","Special outside fire","Industrial, Utility, Defense, Agriculture, Mining","1373","0"
"2005","Special outside fire","Manufacturing, processing","561","0"
"2005","Special outside fire","Mercantile, Business","1227","0"
"2005","Special outside fire","Outside or special property","6584","0"
"2005","Special outside fire","Parking","920","0"
"2005","Special outside fire","PROPERTY USE","33","0"
"2005","Special outside fire","Residential","5224","1"
"2005","Special outside fire","Roadway","3411","1"
"2005","Special outside fire","Storage","1629","0"
"2005","Special outside fire",NULL,"1432","0"
"2005","Structure Fire","Assembly","6282","0"
"2005","Structure Fire","Educational","2524","0"
"2005","Structure Fire","Health Care, Detention & Correction","2311","0"
"2005","Structure Fire","Industrial, Utility, Defense, Agriculture, Mining","1732","1"
"2005","Structure Fire","Manufacturing, processing","3931","0"
"2005","Structure Fire","Mercantile, Business","10190","7"
"2005","Structure Fire","Outside or special property","2425","0"
"2005","Structure Fire","Parking","4868","0"
"2005","Structure Fire","PROPERTY USE","852","0"
"2005","Structure Fire","Residential","153940","9"
"2005","Structure Fire","Roadway","3591","0"
"2005","Structure Fire","Storage","10450","0"
"2005","Structure Fire",NULL,"5425","0"
"2006","Cultivated vegetation, crop fire","Assembly","190","0"
"2006","Cultivated vegetation, crop fire","Educational","75","0"
"2006","Cultivated vegetation, crop fire","Health Care, Detention & Correction","32","0"
"2006","Cultivated vegetation, crop fire","Industrial, Utility, Defense, Agriculture, Mining","1231","0"
"2006","Cultivated vegetation, crop fire","Manufacturing, processing","61","0"
"2006","Cultivated vegetation, crop fire","Mercantile, Business","268","0"
"2006","Cultivated vegetation, crop fire","Outside or special property","2739","0"
"2006","Cultivated vegetation, crop fire","Parking","270","0"
"2006","Cultivated vegetation, crop fire","PROPERTY USE","22","0"
"2006","Cultivated vegetation, crop fire","Residential","1101","0"
"2006","Cultivated vegetation, crop fire","Roadway","751","0"
"2006","Cultivated vegetation, crop fire","Storage","207","0"
"2006","Cultivated vegetation, crop fire",NULL,"485","0"
"2006","Fire in mobile property used as a fixed structure","Assembly","93","0"
"2006","Fire in mobile property used as a fixed structure","Educational","66","0"
"2006","Fire in mobile property used as a fixed structure","Health Care, Detention & Correction","8","0"
"2006","Fire in mobile property used as a fixed structure","Industrial, Utility, Defense, Agriculture, Mining","40","0"
"2006","Fire in mobile property used as a fixed structure","Manufacturing, processing","21","0"
"2006","Fire in mobile property used as a fixed structure","Mercantile, Business","148","0"
"2006","Fire in mobile property used as a fixed structure","Outside or special property","521","0"
"2006","Fire in mobile property used as a fixed structure","Parking","172","0"
"2006","Fire in mobile property used as a fixed structure","PROPERTY USE","65","0"
"2006","Fire in mobile property used as a fixed structure","Residential","8697","0"
"2006","Fire in mobile property used as a fixed structure","Roadway","404","0"
"2006","Fire in mobile property used as a fixed structure","Storage","527","0"
"2006","Fire in mobile property used as a fixed structure",NULL,"509","0"
"2006","Fire, other","Assembly","386","0"
"2006","Fire, other","Educational","257","0"
"2006","Fire, other","Health Care, Detention & Correction","231","0"
"2006","Fire, other","Industrial, Utility, Defense, Agriculture, Mining","251","0"
"2006","Fire, other","Manufacturing, processing","345","1"
"2006","Fire, other","Mercantile, Business","679","0"
"2006","Fire, other","Outside or special property","1216","0"
"2006","Fire, other","Parking","257","0"
"2006","Fire, other","PROPERTY USE","64","0"
"2006","Fire, other","Residential","5266","1"
"2006","Fire, other","Roadway","850","0"
"2006","Fire, other","Storage","229","0"
"2006","Fire, other",NULL,"1504","0"
"2006","Mobile property (vehicle) fire","Assembly","1642","0"
"2006","Mobile property (vehicle) fire","Educational","587","0"
"2006","Mobile property (vehicle) fire","Health Care, Detention & Correction","378","0"
"2006","Mobile property (vehicle) fire","Industrial, Utility, Defense, Agriculture, Mining","1979","0"
"2006","Mobile property (vehicle) fire","Manufacturing, processing","650","0"
"2006","Mobile property (vehicle) fire","Mercantile, Business","7458","1"
"2006","Mobile property (vehicle) fire","Outside or special property","12830","1"
"2006","Mobile property (vehicle) fire","Parking","27003","9"
"2006","Mobile property (vehicle) fire","PROPERTY USE","194","0"
"2006","Mobile property (vehicle) fire","Residential","9500","3"
"2006","Mobile property (vehicle) fire","Roadway","78921","22"
"2006","Mobile property (vehicle) fire","Storage","1139","0"
"2006","Mobile property (vehicle) fire",NULL,"18482","6"
"2006","Natural vegetation fire","Assembly","2250","0"
"2006","Natural vegetation fire","Educational","879","0"
"2006","Natural vegetation fire","Health Care, Detention & Correction","400","0"
"2006","Natural vegetation fire","Industrial, Utility, Defense, Agriculture, Mining","8540","0"
"2006","Natural vegetation fire","Manufacturing, processing","292","0"
"2006","Natural vegetation fire","Mercantile, Business","2914","0"
"2006","Natural vegetation fire","Outside or special property","100867","1"
"2006","Natural vegetation fire","Parking","3301","0"
"2006","Natural vegetation fire","PROPERTY USE","802","0"
"2006","Natural vegetation fire","Residential","18470","0"
"2006","Natural vegetation fire","Roadway","22307","0"
"2006","Natural vegetation fire","Storage","597","0"
"2006","Natural vegetation fire",NULL,"16229","0"
"2006","Outside rubbish fire","Assembly","917","0"
"2006","Outside rubbish fire","Educational","615","0"
"2006","Outside rubbish fire","Health Care, Detention & Correction","106","0"
"2006","Outside rubbish fire","Industrial, Utility, Defense, Agriculture, Mining","362","0"
"2006","Outside rubbish fire","Manufacturing, processing","316","0"
"2006","Outside rubbish fire","Mercantile, Business","1490","0"
"2006","Outside rubbish fire","Outside or special property","9177","0"
"2006","Outside rubbish fire","Parking","3678","0"
"2006","Outside rubbish fire","PROPERTY USE","58","0"
"2006","Outside rubbish fire","Residential","6447","0"
"2006","Outside rubbish fire","Roadway","6428","1"
