"year","inc_type","prop_use","fires","battery"
"2002","Cultivated vegetation, crop fire","Assembly","349","0"
"2002","Cultivated vegetation, crop fire","Educational","135","0"
"2002","Cultivated vegetation, crop fire","Health Care, Detention & Correction","52","0"
"2002","Cultivated vegetation, crop fire","Industrial, Utility, Defense, Agriculture, Mining","1057","0"
"2002","Cultivated vegetation, crop fire","Manufacturing, processing","141","0"
"2002","Cultivated vegetation, crop fire","Mercantile, Business","480","0"
"2002","Cultivated vegetation, crop fire","Outside or special property","3314","0"
"2002","Cultivated vegetation, crop fire","Parking","452","0"
"2002","Cultivated vegetation, crop fire","PROPERTY USE","93","0"
"2002","Cultivated vegetation, crop fire","Residential","2355","0"
"2002","Cultivated vegetation, crop fire","Roadway","1248","0"
"2002","Cultivated vegetation, crop fire","Storage","410","0"
"2002","Cultivated vegetation, crop fire",NULL,"679","0"
"2002","Fire in mobile property used as a fixed structure","Assembly","60","0"
"2002","Fire in mobile property used as a fixed structure","Educational","45","0"
"2002","Fire in mobile property used as a fixed structure","Health Care, Detention & Correction","3","0"
"2002","Fire in mobile property used as a fixed structure","Industrial, Utility, Defense, Agriculture, Mining","24","0"
"2002","Fire in mobile property used as a fixed structure","Manufacturing, processing","17","0"
"2002","Fire in mobile property used as a fixed structure","Mercantile, Business","83","0"
"2002","Fire in mobile property used as a fixed structure","Outside or special property","238","0"
"2002","Fire in mobile property used as a fixed structure","Parking","73","0"
"2002","Fire in mobile property used as a fixed structure","PROPERTY USE","27","0"
"2002","Fire in mobile property used as a fixed structure","Residential","6020","0"
"2002","Fire in mobile property used as a fixed structure","Roadway","196","0"
"2002","Fire in mobile property used as a fixed structure","Storage","241","0"
"2002","Fire in mobile property used as a fixed structure",NULL,"243","0"
"2002","Fire, other","Assembly","398","0"
"2002","Fire, other","Educational","204","0"
"2002","Fire, other","Health Care, Detention & Correction","230","0"
"2002","Fire, other","Industrial, Utility, Defense, Agriculture, Mining","297","0"
"2002","Fire, other","Manufacturing, processing","420","0"
"2002","Fire, other","Mercantile, Business","682","0"
"2002","Fire, other","Outside or special property","1091","0"
"2002","Fire, other","Parking","228","0"
"2002","Fire, other","PROPERTY USE","398","0"
"2002","Fire, other","Residential","5571","0"
"2002","Fire, other","Roadway","739","0"
"2002","Fire, other","Storage","230","0"
"2002","Fire, other",NULL,"817","0"
"2002","Mobile property (vehicle) fire","Assembly","1315","0"
"2002","Mobile property (vehicle) fire","Educational","440","0"
"2002","Mobile property (vehicle) fire","Health Care, Detention & Correction","274","0"
"2002","Mobile property (vehicle) fire","Industrial, Utility, Defense, Agriculture, Mining","1198","0"
"2002","Mobile property (vehicle) fire","Manufacturing, processing","575","0"
"2002","Mobile property (vehicle) fire","Mercantile, Business","5996","1"
