"state","inc_date","year","mob_year","battery","mob_invol","ignited","burned","mob_type"
"FL","2022-08-18","2022","2014","No","3","Yes","Yes","23"
"FL","2022-04-03","2022","2021","No","3","Yes","Yes","11"
"FL","2022-10-06","2022",NULL,"No","2","Yes","No","10"
"FL","2022-10-02","2022","2015","No","3","Yes","Yes","10"
"FL","2022-11-03","2022",NULL,"No","3","Yes","Yes","10"
"FL","2022-10-06","2022","2016","No","2","Yes","No","11"
"FL","2022-10-08","2022","2017","No","2","Yes","No","11"
"FL","2022-10-18","2022","2022","No","3","Yes","Yes","11"
"FL","2022-10-07","2022",NULL,"No","2","Yes","No","10"
"GA","2022-07-10","2022","2022","No","3","Yes","Yes","11"
"CA","2022-10-13","2022","2021","No","3","Yes","Yes","10"
"IL","2022-08-22","2022","2017","No","3","Yes","Yes","11"
"MA","2022-07-29","2022","2016","No","3","Yes","Yes","11"
"IL","2022-01-31","2022","2022","No","2","Yes","No","11"
"NY","2022-11-07","2022",NULL,"No","1","No","Yes",NULL
"SC","2022-12-04","2022","2013","No","3","Yes","Yes","11"
"CA","2022-04-27","2022","2021","No","3","Yes","Yes","11"
"CA","2022-04-07","2022","2019","No","1","No","Yes","11"
"CA","2022-09-28","2022",NULL,"No","3","Yes","Yes","11"
"CA","2022-10-15","2022","2021","No","3","Yes","Yes","10"
"CA","2023-02-08","2023","2021","No","1","No","Yes","11"
"CA","2023-10-23","2023","2023","No","3","Yes","Yes","11"
"CA","2023-03-23","2023","2023","No","3","Yes","Yes","11"
"CA","2023-05-01","2023","2022","No","3","Yes","Yes","10"
"CA","2023-09-05","2023",NULL,"No","3","Yes","Yes","10"
"CA","2023-11-18","2023","2022","No","3","Yes","Yes","10"
"FL","2023-04-24","2023","2020","No","3","Yes","Yes","11"
"CA","2023-07-18","2023","2023","No","1","No","Yes","10"
"CA","2023-12-06","2023","2022","No","3","Yes","Yes","11"
"CT","2023-09-21","2023","2013","No","1","No","Yes","11"
"FL","2023-09-01","2023","2023","No","3","Yes","Yes","11"
"FL","2023-09-15","2023","2014","No","1","No","Yes","11"
"KS","2023-08-27","2023","2016","No","3","Yes","Yes","10"
"IL","2023-08-06","2023",NULL,"No","1","No","Yes","11"
"KS","2023-08-27","2023","2016","No","3","Yes","Yes","10"
"KY","2023-11-03","2023","2015","No","3","Yes","Yes","11"
"MI","2023-03-03","2023","2013","No","1","No","Yes","10"
"NY","2023-06-29","2023","2022","No","3","Yes","Yes","10"
"MI","2023-04-17","2023",NULL,"No","1","No","Yes","11"
"NJ","2023-06-05","2023","2019","No","3","Yes","Yes","11"
"NV","2023-07-16","2023","2022","No","3","Yes","Yes","10"
"OH","2023-11-21","2023","2021","No","3","Yes","Yes","11"
"OR","2023-03-11","2023","2023","No","3","Yes","Yes","11"
"OH","2023-10-23","2023","2014","No","1","No","Yes","11"
"TN","2023-03-30","2023",NULL,"No","2","Yes","No","10"
"SC","2023-10-08","2023","2023","No","1","No","Yes","11"
"SC","2023-10-08","2023","2023","No","1","No","Yes","11"
"TX","2023-04-14","2023",NULL,"No","3","Yes","Yes","11"
"WA","2023-11-24","2023","2021","No","3","Yes","Yes","NN"
"TX","2023-11-19","2023","2018","No","3","Yes","Yes","11"
"TX","2023-01-28","2023","2022","No","3","Yes","Yes","11"
"WA","2023-04-21","2023",NULL,"No","3","Yes","Yes","11"
