"state","fdid","fd_name","year","fires","batteries"
"AK","23100","Anchorage FD","2002","259","0"
"AK","23100","Anchorage FD","2003","257","0"
"AK","23100","Anchorage FD","2004","229","0"
"AK","23100","Anchorage FD","2005","244","0"
"AK","23100","Anchorage FD","2006","263","0"
"AK","23100","Anchorage FD","2007","195","0"
"AK","23100","Anchorage FD","2008","265","0"
"AK","23100","Anchorage FD","2009","321","0"
"AK","23100","Anchorage FD","2010","328","0"
"AK","23100","Anchorage FD","2011","297","0"
"AK","23100","Anchorage FD","2012","257","0"
"AK","23100","Anchorage FD","2013","190","0"
"AK","23100","Anchorage FD","2014","199","2"
"AK","23100","Anchorage FD","2015","196","0"
"AK","23100","Anchorage FD","2016","161","0"
"AK","23100","Anchorage FD","2017","209","0"
"AK","23100","Anchorage FD","2018","198","0"
"AK","23100","Anchorage FD","2019","169","0"
"AK","23100","Anchorage FD","2020","180","0"
"AK","23100","Anchorage FD","2021","176","0"
"AK","23100","Anchorage FD","2022","209","0"
"AK","23100","Anchorage FD","2023","260","1"
"AK","25150","Central MatSu FD","2002","39","0"
"AK","25150","Central MatSu FD","2003","48","0"
"AK","25150","Central MatSu FD","2004","38","0"
"AK","25150","Central MatSu FD","2005","48","0"
"AK","25150","Central MatSu FD","2006","41","0"
"AK","25150","Central MatSu FD","2007","31","0"
"AK","25150","Central MatSu FD","2008","52","0"
"AK","25150","Central MatSu FD","2009","45","0"
"AK","25150","Central MatSu FD","2010","47","0"
"AK","25150","Central MatSu FD","2011","42","0"
"AK","25150","Central MatSu FD","2012","38","0"
"AK","25150","Central MatSu FD","2013","39","0"
"AK","25150","Central MatSu FD","2014","42","0"
"AK","25150","Central MatSu FD","2015","34","0"
"AK","25150","Central MatSu FD","2016","41","0"
"AK","25150","Central MatSu FD","2017","46","0"
"AK","25150","Central MatSu FD","2018","45","0"
"AK","25150","Central MatSu FD","2019","54","1"
"AK","25150","Central MatSu FD","2020","78","0"
"AK","25150","Central MatSu FD","2021","51","0"
"AK","25150","Central MatSu FD","2022","77","3"
"AK","25150","Central MatSu FD","2023","71","0"
"AL","00150","Center Point Fire District","2004","79","0"
"AL","00150","Center Point Fire District","2005","58","0"
"AL","00150","Center Point Fire District","2006","76","0"
"AL","00150","Center Point Fire District","2007","110","0"
"AL","00150","Center Point Fire District","2008","91","0"
"AL","00150","Center Point Fire District","2009","67","0"
"AL","00150","Center Point Fire District","2010","99","0"
"AL","00150","Center Point Fire District","2011","78","0"
"AL","00150","Center Point Fire District","2012","67","0"
"AL","00150","Center Point Fire District","2013","59","0"
"AL","00150","Center Point Fire District","2014","82","0"
"AL","00150","Center Point Fire District","2015","73","0"
"AL","00150","Center Point Fire District","2016","76","0"
"AL","00150","Center Point Fire District","2017","64","0"
"AL","00150","Center Point Fire District","2018","83","0"
"AL","00150","Center Point Fire District","2019","66","0"
"AL","00150","Center Point Fire District","2020","63","1"
"AL","00150","Center Point Fire District","2021","101","0"
"AL","00150","Center Point Fire District","2022","61","0"
"AL","00150","Center Point Fire District","2023","58","0"
"AL","00201","Mobile FD","2003","4","0"
"AL","00201","Mobile FD","2008","1","0"
"AL","00201","Mobile FD","2009","244","0"
"AL","00201","Mobile FD","2010","246","0"
"AL","00201","Mobile FD","2011","303","0"
"AL","00201","Mobile FD","2012","140","1"
"AL","00201","Mobile FD","2014","149","0"
"AL","00201","Mobile FD","2015","98","0"
"AL","00201","Mobile FD","2017","5","0"
"AL","00201","Mobile FD","2018","124","1"
"AL","00201","Mobile FD","2019","28","0"
"AL","00201","Mobile FD","2020","311","0"
"AL","00201","Mobile FD","2021","157","0"
"AL","00201","Mobile FD","2022","427","0"
"AL","00201","Mobile FD","2023","442","0"
"AL","00313","TempFD","2016","260","0"
"AL","00313","TempFD","2017","316","1"
"AL","00313","TempFD","2018","341","0"
"AL","00313","TempFD","2019","257","0"
"AL","00313","TempFD","2020","329","0"
"AL","00313","TempFD","2021","206","0"
"AL","00313","TempFD","2022","239","1"
"AL","00313","TempFD","2023","260","0"
"AL","04101","Florence FD","2003","40","0"
"AL","04101","Florence FD","2004","46","0"
"AL","04101","Florence FD","2005","50","0"
"AL","04101","Florence FD","2006","48","0"
"AL","04101","Florence FD","2007","35","0"
"AL","04101","Florence FD","2008","38","0"
"AL","04101","Florence FD","2009","38","0"
