"year","total","tesla"
"2002","34","0"
"2003","34","0"
"2004","34","1"
"2005","60","0"
"2006","42","0"
"2007","67","0"
"2008","42","1"
"2009","46","0"
"2010","38","0"
"2011","40","0"
"2012","27","0"
"2013","58","2"
"2014","41","0"
"2015","59","2"
"2016","73","5"
"2017","52","5"
"2018","63","5"
"2019","71","10"
"2020","68","8"
"2021","85","16"
"2022","95","23"
"2023","129","32"
