"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"CA","01065","LIVERMOREPLEASANTON FD","2022","Other","16142","88","69","2","106","203","15","2","21","15636"
"CA","01065","LIVERMOREPLEASANTON FD","2023","Battery","1","0","0","0","0","0","1","0","0","0"
"CA","01065","LIVERMOREPLEASANTON FD","2023","Other","16570","105","71","0","76","194","16","2","29","16077"
"CA","19105","LOS ANGELES CITY FD","2005","Battery","18","1","17","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2005","Other","16146","4425","3120","59","762","2126","149","5","296","5204"
"CA","19105","LOS ANGELES CITY FD","2006","Battery","8","0","7","0","1","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2006","Other","17460","4510","3181","61","883","2471","203","38","232","5881"
"CA","19105","LOS ANGELES CITY FD","2007","Battery","16","0","16","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2007","Other","17145","4422","3106","48","788","2471","173","16","252","5869"
"CA","19105","LOS ANGELES CITY FD","2008","Battery","4","0","4","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2008","Other","14348","3942","2780","35","633","1758","188","46","193","4773"
"CA","19105","LOS ANGELES CITY FD","2009","Battery","10","1","9","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2009","Other","13266","3751","2418","34","546","1588","145","55","233","4496"
"CA","19105","LOS ANGELES CITY FD","2010","Battery","3","0","3","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2010","Other","12283","3676","2092","32","413","1241","116","37","144","4532"
"CA","19105","LOS ANGELES CITY FD","2011","Battery","3","1","1","0","0","1","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2011","Other","12272","3638","1949","41","440","1355","123","40","59","4627"
"CA","19105","LOS ANGELES CITY FD","2012","Battery","3","0","3","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2012","Other","8995","2720","1452","23","287","1233","77","25","53","3125"
"CA","19105","LOS ANGELES CITY FD","2013","Battery","8","1","7","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2013","Other","12246","3761","1828","25","495","1659","117","48","52","4261"
"CA","19105","LOS ANGELES CITY FD","2014","Battery","12","1","10","0","0","1","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2014","Other","13482","3757","1802","30","528","1929","139","51","322","4924"
"CA","19105","LOS ANGELES CITY FD","2015","Battery","13","0","13","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2015","Other","12830","3730","1680","42","493","1738","104","32","364","4647"
"CA","19105","LOS ANGELES CITY FD","2016","Battery","11","1","9","0","0","0","0","0","1","0"
"CA","19105","LOS ANGELES CITY FD","2016","Other","12771","3774","1659","42","527","1633","119","53","439","4525"
"CA","19105","LOS ANGELES CITY FD","2017","Battery","8","0","7","0","0","0","0","0","1","0"
"CA","19105","LOS ANGELES CITY FD","2017","Other","74821","4516","1968","87","771","2656","134","62","486","64141"
"CA","19105","LOS ANGELES CITY FD","2018","Battery","7","1","5","0","0","0","0","0","1","0"
"CA","19105","LOS ANGELES CITY FD","2018","Other","77861","5028","1834","72","632","3033","142","50","537","66533"
"CA","19105","LOS ANGELES CITY FD","2019","Battery","9","2","4","0","0","1","1","0","1","0"
"CA","19105","LOS ANGELES CITY FD","2019","Other","85673","5287","1891","94","607","3181","115","53","548","73897"
"CA","19105","LOS ANGELES CITY FD","2020","Battery","5","0","3","0","0","0","0","0","2","0"
"CA","19105","LOS ANGELES CITY FD","2020","Other","54829","3810","1439","58","622","4160","112","34","347","44247"
"CA","19105","LOS ANGELES CITY FD","2021","Battery","11","3","6","0","0","1","0","0","1","0"
"CA","19105","LOS ANGELES CITY FD","2021","Other","70191","4346","1504","92","390","4880","107","40","438","58394"
"CA","19105","LOS ANGELES CITY FD","2022","Battery","4","1","1","0","0","0","0","0","2","0"
"CA","19105","LOS ANGELES CITY FD","2022","Other","91059","4931","2000","92","688","10801","112","71","315","72049"
"CA","19105","LOS ANGELES CITY FD","2023","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","19105","LOS ANGELES CITY FD","2023","Other","99875","3558","2226","42","621","16863","79","59","0","76427"
"CA","30020","COSTA MESA FD","2005","Other","334","113","46","2","18","19","7","0","13","116"
"CA","30020","COSTA MESA FD","2006","Other","427","128","44","2","26","37","7","5","14","164"
"CA","30020","COSTA MESA FD","2007","Other","489","138","68","2","41","33","15","2","24","166"
"CA","30020","COSTA MESA FD","2008","Other","370","85","52","2","39","32","8","1","9","142"
"CA","30020","COSTA MESA FD","2009","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2009","Other","328","62","39","1","9","51","7","3","18","138"
"CA","30020","COSTA MESA FD","2010","Other","360","76","36","2","11","29","3","1","22","180"
"CA","30020","COSTA MESA FD","2011","Other","351","80","47","1","17","51","7","0","20","128"
"CA","30020","COSTA MESA FD","2012","Other","212","46","19","0","7","35","8","0","8","89"
"CA","30020","COSTA MESA FD","2013","Other","266","75","27","2","12","33","3","1","9","104"
"CA","30020","COSTA MESA FD","2014","Other","273","63","22","1","12","23","9","1","12","130"
"CA","30020","COSTA MESA FD","2015","Other","377","89","41","0","23","52","14","2","10","146"
"CA","30020","COSTA MESA FD","2016","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2016","Other","461","97","46","0","31","66","12","3","5","201"
"CA","30020","COSTA MESA FD","2017","Other","12855","89","31","1","31","43","10","1","9","12640"
"CA","30020","COSTA MESA FD","2018","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2018","Other","9536","67","39","2","11","48","6","4","12","9347"
"CA","30020","COSTA MESA FD","2019","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2019","Other","12667","98","36","2","19","51","9","3","19","12430"
"CA","30020","COSTA MESA FD","2020","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2020","Other","8606","56","24","0","23","53","3","1","19","8427"
"CA","30020","COSTA MESA FD","2021","Battery","2","1","1","0","0","0","0","0","0","0"
"CA","30020","COSTA MESA FD","2021","Other","13273","83","30","1","10","65","3","0","14","13067"
"CA","30020","COSTA MESA FD","2022","Other","14448","97","33","1","29","63","4","1","20","14200"
"CA","30020","COSTA MESA FD","2023","Other","13839","100","36","2","28","72","4","5","14","13578"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2005","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2005","Other","3752","730","547","19","165","449","126","34","128","1554"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2006","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2006","Other","1834","324","246","2","99","225","71","20","70","777"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2007","Other","3433","673","414","8","188","381","123","31","147","1468"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2008","Other","2858","693","300","10","129","306","114","17","111","1178"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2009","Other","2859","604","421","11","129","364","123","34","149","1024"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2010","Battery","2","1","1","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2010","Other","2424","429","336","7","84","250","79","16","155","1068"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2011","Battery","2","0","0","0","0","0","0","0","2","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2011","Other","2525","434","368","11","128","296","88","20","220","960"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2012","Battery","3","1","0","0","0","0","0","0","2","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2012","Other","2118","308","308","6","92","291","66","16","200","831"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2013","Battery","2","1","0","0","0","0","0","0","1","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2013","Other","3084","441","430","9","137","370","145","21","227","1304"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2014","Battery","5","3","1","0","0","0","0","0","1","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2014","Other","3252","511","455","6","120","345","216","19","213","1367"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2015","Battery","3","2","0","0","0","0","1","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2015","Other","3050","646","403","13","162","323","160","24","38","1281"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2016","Battery","10","9","1","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2016","Other","3152","594","403","7","174","391","180","40","19","1344"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2017","Battery","5","4","0","0","0","0","1","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2017","Other","137211","637","422","14","167","454","192","53","34","135238"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2018","Battery","11","8","1","0","0","0","2","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2018","Other","137851","645","470","21","123","459","212","47","34","135840"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2019","Battery","3","3","0","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2019","Other","151230","701","413","26","96","535","124","42","44","149249"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2020","Battery","6","4","1","0","0","0","0","0","1","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2020","Other","147986","637","502","12","227","704","188","27","23","145666"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2021","Battery","3","0","0","0","0","0","3","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2021","Other","161773","714","575","19","313","912","196","22","24","158998"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","Battery","10","9","1","0","0","0","0","0","0","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","Other","175311","680","483","11","241","1029","190","14","29","172634"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2023","Battery","6","4","0","0","0","0","1","0","1","0"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2023","Other","172328","552","445","18","139","831","100","15","112","170116"
"CA","33090","RIVERSIDE CFD","2006","Other","553","71","121","14","44","130","19","6","33","115"
