"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"FL","04112","ST PETERSBURG FIRE RESCUE","2007","Other","2089","461","230","7","132","162","43","0","194","860"
"FL","04112","ST PETERSBURG FIRE RESCUE","2008","Battery","2","1","1","0","0","0","0","0","0","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2008","Other","1981","455","183","2","118","136","33","4","173","877"
"FL","04112","ST PETERSBURG FIRE RESCUE","2009","Battery","1","0","1","0","0","0","0","0","0","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2009","Other","1909","437","168","3","121","157","40","1","150","832"
"FL","04112","ST PETERSBURG FIRE RESCUE","2010","Other","2090","429","182","2","136","172","48","0","97","1024"
"FL","04112","ST PETERSBURG FIRE RESCUE","2011","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2011","Other","1844","425","147","5","120","127","30","0","78","912"
"FL","04112","ST PETERSBURG FIRE RESCUE","2012","Battery","2","1","0","0","0","1","0","0","0","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2012","Other","1948","459","131","3","140","164","33","1","82","935"
"FL","04112","ST PETERSBURG FIRE RESCUE","2013","Other","1616","317","136","6","137","132","28","0","48","812"
"FL","04112","ST PETERSBURG FIRE RESCUE","2014","Other","1683","334","118","7","157","177","10","0","31","849"
"FL","04112","ST PETERSBURG FIRE RESCUE","2015","Battery","1","1","0","0","0","0","0","0","0","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2015","Other","1806","379","166","3","134","132","30","0","24","938"
"FL","04112","ST PETERSBURG FIRE RESCUE","2016","Other","1986","321","178","9","149","167","31","0","24","1107"
"FL","04112","ST PETERSBURG FIRE RESCUE","2017","Battery","3","1","0","0","0","0","1","0","1","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2017","Other","63587","310","151","8","206","189","32","0","24","62667"
"FL","04112","ST PETERSBURG FIRE RESCUE","2018","Other","61954","280","140","8","112","142","17","0","20","61235"
"FL","04112","ST PETERSBURG FIRE RESCUE","2019","Battery","1","0","0","0","0","0","1","0","0","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2019","Other","62397","246","146","3","110","113","17","0","14","61748"
"FL","04112","ST PETERSBURG FIRE RESCUE","2020","Other","58834","254","122","1","123","97","17","0","16","58204"
"FL","04112","ST PETERSBURG FIRE RESCUE","2021","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2021","Other","62350","207","127","1","134","98","18","0","12","61753"
"FL","04112","ST PETERSBURG FIRE RESCUE","2022","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2022","Other","63991","212","117","1","157","87","24","1","12","63380"
"FL","04112","ST PETERSBURG FIRE RESCUE","2023","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","04112","ST PETERSBURG FIRE RESCUE","2023","Other","55012","178","76","3","108","97","9","0","13","54528"
"FL","06301","PALM BEACH CO FIRE RESCUE","2003","Other","87713","270","294","7","330","158","20","42","22","86570"
"FL","06301","PALM BEACH CO FIRE RESCUE","2004","Other","4017","475","468","9","756","288","23","86","26","1886"
"FL","06301","PALM BEACH CO FIRE RESCUE","2005","Other","3698","411","400","13","620","306","42","51","44","1811"
"FL","06301","PALM BEACH CO FIRE RESCUE","2006","Other","3210","393","418","8","595","338","29","52","24","1353"
"FL","06301","PALM BEACH CO FIRE RESCUE","2007","Other","2885","369","329","10","513","326","19","49","19","1251"
"FL","06301","PALM BEACH CO FIRE RESCUE","2008","Battery","1","1","0","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2008","Other","2617","366","299","10","500","235","35","27","12","1133"
"FL","06301","PALM BEACH CO FIRE RESCUE","2009","Other","2539","475","293","2","468","153","27","0","5","1116"
"FL","06301","PALM BEACH CO FIRE RESCUE","2010","Other","2019","190","119","0","334","177","11","0","2","1186"
"FL","06301","PALM BEACH CO FIRE RESCUE","2011","Other","2840","504","353","2","602","319","50","0","1","1009"
"FL","06301","PALM BEACH CO FIRE RESCUE","2012","Other","2710","495","355","0","494","191","62","0","0","1113"
"FL","06301","PALM BEACH CO FIRE RESCUE","2013","Other","2884","570","287","17","416","146","53","6","57","1332"
"FL","06301","PALM BEACH CO FIRE RESCUE","2014","Battery","2","1","0","0","0","0","1","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2014","Other","3089","585","312","25","347","191","43","9","67","1510"
"FL","06301","PALM BEACH CO FIRE RESCUE","2015","Battery","1","0","1","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2015","Other","2934","507","295","18","424","169","49","5","48","1419"
"FL","06301","PALM BEACH CO FIRE RESCUE","2016","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2016","Other","3132","518","346","17","418","166","50","10","63","1544"
"FL","06301","PALM BEACH CO FIRE RESCUE","2017","Battery","2","2","0","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2017","Other","136664","481","230","17","407","185","45","8","52","135239"
"FL","06301","PALM BEACH CO FIRE RESCUE","2018","Battery","1","0","1","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2018","Other","122163","452","323","22","354","160","43","6","66","120737"
"FL","06301","PALM BEACH CO FIRE RESCUE","2019","Other","114224","369","202","11","196","138","32","6","46","113224"
"FL","06301","PALM BEACH CO FIRE RESCUE","2020","Battery","1","1","0","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2020","Other","118205","357","191","6","227","156","26","8","36","117198"
"FL","06301","PALM BEACH CO FIRE RESCUE","2021","Battery","2","1","1","0","0","0","0","0","0","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2021","Other","121073","277","106","10","7","158","23","0","29","120463"
"FL","06301","PALM BEACH CO FIRE RESCUE","2022","Battery","1","0","0","0","0","0","0","0","1","0"
"FL","06301","PALM BEACH CO FIRE RESCUE","2022","Other","138833","363","189","20","18","209","35","3","51","137945"
"FL","06301","PALM BEACH CO FIRE RESCUE","2023","Other","151857","406","203","14","11","160","36","2","66","150959"
"GA","03301","Cobb Co Fire Dept","2002","Other","35386","333","242","11","432","63","5","37","58","34205"
"GA","03301","Cobb Co Fire Dept","2003","Other","39680","376","271","20","308","61","9","29","71","38535"
"GA","03301","Cobb Co Fire Dept","2004","Other","3526","374","228","16","405","70","6","36","68","2323"
"GA","03301","Cobb Co Fire Dept","2005","Other","3131","371","250","7","320","57","5","29","75","2017"
"GA","03301","Cobb Co Fire Dept","2006","Other","4431","635","380","18","713","310","48","3","78","2246"
"GA","03301","Cobb Co Fire Dept","2007","Other","5029","607","334","17","782","285","68","4","0","2932"
"GA","03301","Cobb Co Fire Dept","2008","Other","4424","562","307","13","532","116","49","2","0","2843"
"GA","03301","Cobb Co Fire Dept","2009","Other","3164","320","246","4","168","79","23","0","0","2324"
"GA","03301","Cobb Co Fire Dept","2010","Other","3407","447","247","8","337","70","21","0","0","2277"
"GA","03301","Cobb Co Fire Dept","2011","Other","4209","531","268","10","527","104","26","0","0","2743"
"GA","03301","Cobb Co Fire Dept","2012","Other","3794","500","253","8","490","114","39","1","0","2389"
"GA","03301","Cobb Co Fire Dept","2013","Battery","1","1","0","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2013","Other","3515","431","226","10","252","71","36","0","0","2489"
"GA","03301","Cobb Co Fire Dept","2014","Other","3802","506","249","12","378","100","33","1","0","2523"
"GA","03301","Cobb Co Fire Dept","2015","Battery","1","1","0","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2015","Other","3401","456","233","5","220","73","30","1","0","2383"
"GA","03301","Cobb Co Fire Dept","2016","Other","4526","548","256","15","485","132","30","1","0","3059"
"GA","03301","Cobb Co Fire Dept","2017","Battery","1","1","0","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2017","Other","61657","449","258","13","273","75","35","0","0","60554"
"GA","03301","Cobb Co Fire Dept","2018","Other","62045","422","246","5","86","79","15","0","26","61166"
"GA","03301","Cobb Co Fire Dept","2019","Battery","2","1","1","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2019","Other","52571","357","175","16","211","89","17","1","2","51703"
"GA","03301","Cobb Co Fire Dept","2020","Battery","3","1","2","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2020","Other","58788","388","212","2","140","106","24","0","0","57916"
"GA","03301","Cobb Co Fire Dept","2021","Other","4984","36","19","0","9","21","5","0","0","4894"
"GA","03301","Cobb Co Fire Dept","2022","Battery","1","0","1","0","0","0","0","0","0","0"
"GA","03301","Cobb Co Fire Dept","2022","Other","63126","424","247","13","281","159","35","0","0","61967"
"GA","03301","Cobb Co Fire Dept","2023","Other","62256","347","194","6","300","100","36","2","0","61271"
"HI","52000","Honolulu Fire Department","2003","Other","2929","53","57","0","348","137","7","0","0","2327"
"HI","52000","Honolulu Fire Department","2004","Other","4729","535","714","3","535","756","48","0","2","2136"
"HI","52000","Honolulu Fire Department","2005","Other","5300","548","716","4","923","930","62","2","2","2113"
"HI","52000","Honolulu Fire Department","2006","Other","5411","799","752","5","604","946","55","12","8","2230"
"HI","52000","Honolulu Fire Department","2007","Battery","1","0","0","0","0","0","1","0","0","0"
"HI","52000","Honolulu Fire Department","2007","Other","4886","738","491","4","661","842","52","17","9","2072"
"HI","52000","Honolulu Fire Department","2008","Battery","1","1","0","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2008","Other","4306","589","387","4","399","877","48","17","2","1983"
"HI","52000","Honolulu Fire Department","2009","Battery","1","0","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2009","Other","4181","513","345","1","518","846","45","13","5","1895"
"HI","52000","Honolulu Fire Department","2010","Battery","1","1","0","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2010","Other","4178","545","335","3","528","798","56","18","6","1889"
"HI","52000","Honolulu Fire Department","2011","Battery","1","0","0","0","0","0","1","0","0","0"
"HI","52000","Honolulu Fire Department","2011","Other","4145","601","297","5","331","784","53","6","1","2067"
"HI","52000","Honolulu Fire Department","2012","Other","4032","538","305","6","409","671","37","20","8","2038"
"HI","52000","Honolulu Fire Department","2013","Battery","1","0","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2013","Other","3827","547","324","4","307","492","31","18","3","2101"
"HI","52000","Honolulu Fire Department","2014","Battery","3","2","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2014","Other","3536","527","285","0","241","505","38","15","6","1919"
"HI","52000","Honolulu Fire Department","2015","Battery","4","2","2","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2015","Other","3546","504","305","3","240","581","44","10","1","1858"
"HI","52000","Honolulu Fire Department","2016","Battery","2","1","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2016","Other","3822","539","365","3","372","616","48","28","0","1851"
"HI","52000","Honolulu Fire Department","2017","Battery","2","1","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2017","Other","52471","532","402","5","395","693","37","15","3","50389"
"HI","52000","Honolulu Fire Department","2018","Battery","3","2","0","0","0","0","1","0","0","0"
"HI","52000","Honolulu Fire Department","2018","Other","55817","526","394","3","363","720","34","11","1","53765"
"HI","52000","Honolulu Fire Department","2019","Battery","1","0","1","0","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2019","Other","57799","534","392","3","515","863","34","11","1","55446"
"HI","52000","Honolulu Fire Department","2020","Battery","4","1","1","0","0","0","2","0","0","0"
"HI","52000","Honolulu Fire Department","2020","Other","51949","424","374","5","554","1057","33","10","1","49491"
"HI","52000","Honolulu Fire Department","2021","Battery","2","1","0","0","0","0","1","0","0","0"
"HI","52000","Honolulu Fire Department","2021","Other","57365","478","368","4","437","1151","35","12","3","54877"
"HI","52000","Honolulu Fire Department","2022","Battery","5","2","2","1","0","0","0","0","0","0"
"HI","52000","Honolulu Fire Department","2022","Other","51833","410","216","3","519","1114","28","8","2","49533"
"HI","52000","Honolulu Fire Department","2023","Battery","9","6","0","0","0","0","3","0","0","0"
"HI","52000","Honolulu Fire Department","2023","Other","59384","523","281","10","474","1140","26","13","0","56917"
"IL","CS931","CHICAGO FD","2002","Other","15841","3297","4871","1","996","6248","97","4","327","0"
"IL","CS931","CHICAGO FD","2003","Other","17318","3864","5364","2","858","6692","93","4","441","0"
"IL","CS931","CHICAGO FD","2004","Other","3106","840","1065","0","82","990","17","1","111","0"
"IL","CS931","CHICAGO FD","2007","Other","2736","2648","51","0","0","33","0","1","3","0"
"IL","CS931","CHICAGO FD","2008","Other","2941","2809","71","2","2","50","1","0","6","0"
"IL","CS931","CHICAGO FD","2009","Other","23516","6865","2746","16","136","2351","70","2","910","10420"
"IL","CS931","CHICAGO FD","2010","Other","27083","8089","2697","8","361","2925","89","5","1152","11757"
"IL","CS931","CHICAGO FD","2011","Other","25622","7169","2470","19","161","2249","82","3","1109","12360"
"IL","CS931","CHICAGO FD","2012","Battery","3","1","0","0","0","0","0","0","2","0"
"IL","CS931","CHICAGO FD","2012","Other","24235","6862","1946","6","455","2751","99","2","1185","10929"
"IL","CS931","CHICAGO FD","2013","Battery","3","1","0","1","0","0","0","0","1","0"
"IL","CS931","CHICAGO FD","2013","Other","23578","6562","1892","11","178","2031","65","9","952","11878"
"IL","CS931","CHICAGO FD","2014","Battery","3","0","0","0","0","0","1","0","2","0"
"IL","CS931","CHICAGO FD","2014","Other","23072","6063","2065","11","153","1757","65","1","857","12100"
"IL","CS931","CHICAGO FD","2015","Battery","1","1","0","0","0","0","0","0","0","0"
"IL","CS931","CHICAGO FD","2015","Other","22262","5937","2072","10","162","1806","89","1","907","11278"
"IL","CS931","CHICAGO FD","2016","Battery","3","1","0","0","0","0","0","0","2","0"
"IL","CS931","CHICAGO FD","2016","Other","22461","5930","2118","11","208","1913","82","1","925","11273"
"IL","CS931","CHICAGO FD","2017","Other","295173","5945","1850","13","289","1961","56","1","995","284063"
"IL","CS931","CHICAGO FD","2018","Battery","1","1","0","0","0","0","0","0","0","0"
"IL","CS931","CHICAGO FD","2018","Other","298052","5499","1880","7","189","1988","86","0","929","287474"
"IL","CS931","CHICAGO FD","2019","Battery","4","1","0","0","0","0","0","0","3","0"
"IL","CS931","CHICAGO FD","2019","Other","301745","4950","1823","5","156","1681","88","2","1241","291799"
"IL","CS931","CHICAGO FD","2020","Battery","1","0","0","0","0","0","0","0","1","0"
"IL","CS931","CHICAGO FD","2020","Other","318865","5725","2185","12","252","2310","97","3","1160","307121"
"IL","CS931","CHICAGO FD","2021","Battery","3","1","0","0","0","0","1","0","1","0"
"IL","CS931","CHICAGO FD","2021","Other","326862","5476","2060","23","254","2082","84","3","1049","315831"
"IL","CS931","CHICAGO FD","2022","Battery","2","1","0","0","0","0","0","0","1","0"
"IL","CS931","CHICAGO FD","2022","Other","341796","5274","1869","42","164","1917","76","1","1153","331300"
"IL","CS931","CHICAGO FD","2023","Battery","1","1","0","0","0","0","0","0","0","0"
"IL","CS931","CHICAGO FD","2023","Other","348705","6344","1821","40","441","2393","135","2","85","337444"
"KY","34155","LEXINGTON","2004","Battery","1","0","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2004","Other","2349","570","230","8","153","144","29","4","74","1137"
"KY","34155","LEXINGTON","2005","Other","2239","473","212","5","257","140","33","7","53","1059"
"KY","34155","LEXINGTON","2006","Other","2250","487","229","6","225","161","41","7","65","1029"
"KY","34155","LEXINGTON","2007","Other","2636","585","211","2","337","221","45","8","65","1162"
"KY","34155","LEXINGTON","2008","Other","2392","487","193","2","255","196","50","7","45","1157"
"KY","34155","LEXINGTON","2009","Other","2300","476","164","3","160","154","38","2","38","1265"
"KY","34155","LEXINGTON","2010","Battery","1","1","0","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2010","Other","2532","478","210","8","352","189","41","8","49","1197"
"KY","34155","LEXINGTON","2011","Battery","2","1","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2011","Other","2317","462","202","7","161","196","42","1","49","1197"
"KY","34155","LEXINGTON","2012","Other","2639","520","173","4","548","210","77","2","12","1093"
"KY","34155","LEXINGTON","2013","Other","2683","505","140","6","252","183","36","3","2","1556"
"KY","34155","LEXINGTON","2014","Battery","1","1","0","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2014","Other","3011","529","169","8","342","185","23","1","0","1754"
"KY","34155","LEXINGTON","2015","Battery","1","0","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2015","Other","3155","529","177","10","322","168","29","2","0","1918"
"KY","34155","LEXINGTON","2016","Battery","1","0","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2016","Other","3363","559","191","6","399","182","27","2","1","1996"
"KY","34155","LEXINGTON","2017","Battery","2","0","2","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2017","Other","9384","496","134","2","283","141","24","0","0","8304"
"KY","34155","LEXINGTON","2018","Other","10398","453","148","3","228","140","18","0","4","9404"
"KY","34155","LEXINGTON","2019","Battery","1","1","0","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2019","Other","11792","498","164","2","391","157","22","0","0","10558"
"KY","34155","LEXINGTON","2020","Battery","1","0","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2020","Other","10978","375","102","1","126","228","34","1","0","10111"
"KY","34155","LEXINGTON","2021","Battery","1","0","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2021","Other","12452","353","143","4","74","251","138","3","1","11485"
"KY","34155","LEXINGTON","2022","Battery","2","1","1","0","0","0","0","0","0","0"
"KY","34155","LEXINGTON","2022","Other","16053","369","163","7","173","335","244","2","1","14759"
"KY","34155","LEXINGTON","2023","Battery","2","1","0","0","0","1","0","0","0","0"
"KY","34155","LEXINGTON","2023","Other","15465","350","138","2","196","306","202","1","2","14268"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2002","Other","3336","164","58","0","37","67","2","2","6","3000"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2003","Other","1","0","0","0","0","0","0","0","0","1"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2004","Other","2142","548","109","1","33","104","10","0","52","1285"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2005","Other","234","79","13","0","1","10","2","0","3","126"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2006","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2006","Other","1480","381","40","2","33","108","6","0","15","895"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2007","Other","1920","561","55","1","28","122","4","1","9","1139"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2008","Other","2023","615","61","0","30","85","1","0","6","1225"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2009","Other","1628","477","53","0","19","71","4","0","6","998"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2010","Other","2033","506","50","0","26","95","6","0","5","1345"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2011","Other","841","248","33","0","12","43","2","0","6","497"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2013","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2013","Other","1632","430","48","0","24","50","7","0","14","1059"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2014","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2014","Other","1825","424","59","1","25","51","9","0","18","1238"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2015","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2015","Other","2096","450","54","1","51","49","1","0","10","1480"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2016","Other","2305","471","46","1","54","58","9","1","8","1657"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2017","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2017","Other","7793","431","46","0","29","44","8","0","2","7233"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2018","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2018","Other","7232","336","36","0","30","34","6","0","6","6784"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2019","Other","1230","79","3","0","1","4","1","0","3","1139"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2020","Other","5886","359","14","0","15","59","2","0","7","5430"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2021","Battery","1","0","1","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2021","Other","3682","226","7","0","4","21","1","0","4","3419"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2022","Battery","1","1","0","0","0","0","0","0","0","0"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2022","Other","5082","253","19","0","10","30","4","0","4","4762"
"NJ","09013","NORTH HUDSON REGIONAL FIRE RES","2023","Other","2021","113","10","0","8","11","0","1","0","1878"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2002","Other","263","11","11","0","142","31","7","6","1","54"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2004","Other","4803","979","859","69","405","1135","101","72","29","1154"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2005","Battery","1","0","1","0","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2005","Other","5365","983","899","75","583","1318","75","57","177","1198"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2006","Other","5090","866","866","89","521","1391","80","35","106","1136"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2007","Other","3837","779","615","48","280","946","69","41","157","902"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2008","Other","4729","991","734","73","312","1258","98","27","60","1176"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2009","Other","3691","662","545","52","305","1097","89","17","62","862"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2010","Battery","1","0","1","0","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2010","Other","3686","896","526","43","251","893","79","18","110","870"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2011","Other","3968","1020","545","26","263","1030","81","18","103","882"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2012","Other","3717","803","552","35","134","1000","57","21","45","1070"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2013","Battery","1","0","1","0","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2013","Other","3662","822","476","24","165","972","55","21","88","1039"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2014","Other","4251","1073","499","17","268","1057","69","33","158","1077"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2015","Battery","2","1","1","0","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2015","Other","4137","1042","495","31","243","1012","92","17","159","1046"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2016","Battery","2","0","1","0","0","0","0","0","1","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2016","Other","4525","1111","551","13","291","1080","97","31","411","940"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2017","Other","109227","1285","522","16","391","1311","82","5","344","105271"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2018","Battery","4","3","0","1","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2018","Other","132335","1402","518","27","325","1564","155","6","192","128146"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2019","Battery","3","0","1","0","0","0","0","0","2","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2019","Other","70371","820","275","13","164","889","76","3","93","68038"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2020","Battery","2","2","0","0","0","0","0","0","0","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2020","Other","125194","1548","456","35","279","1840","119","3","170","120744"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2021","Battery","1","0","0","0","0","0","0","0","1","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2021","Other","70892","776","253","15","110","992","64","1","105","68576"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2022","Battery","2","1","0","0","0","0","0","0","1","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2022","Other","153953","1682","501","46","137","2542","164","0","175","148706"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2023","Battery","4","0","0","0","0","0","1","0","3","0"
"NV","03050","CLARK COUNTY FIRE DEPARTMENT","2023","Other","145050","1573","567","30","174","2834","168","1","132","139571"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2003","Battery","2","0","2","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2003","Other","638229","26865","6137","25","75","9782","701","0","945","593699"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2004","Battery","2","0","2","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2004","Other","79191","28055","5310","25","84","9893","496","0","743","34585"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2005","Other","79741","27053","4490","26","122","9195","440","0","651","37764"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2006","Other","86545","27820","4361","17","132","9505","383","1","619","43707"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2007","Other","65070","21390","561","5","19","7601","24","0","1501","33969"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2008","Battery","2","1","1","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2008","Other","75241","27394","3452","7","1214","7495","127","0","1815","33737"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2009","Battery","1","0","1","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2009","Other","70014","25720","2956","9","835","6408","143","2","1690","32251"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2010","Battery","2","2","0","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2010","Other","79786","26186","3067","13","1495","7288","142","3","1552","40040"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2011","Battery","1","1","0","0","0","0","0","0","0","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2011","Other","65333","22754","2513","7","775","5192","133","2","1253","32704"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2012","Battery","4","1","0","0","0","0","0","0","3","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2012","Other","67317","22243","2167","11","934","5728","109","3","1384","34738"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2013","Battery","1","0","0","0","0","0","0","0","1","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2013","Other","66179","25045","2270","14","959","5789","121","1","1804","30176"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2014","Battery","5","2","0","0","0","0","0","0","3","0"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2014","Other","75787","26234","2222","4","842","5558","118","2","1859","38948"
"NY","24001","FIRE DEPARTMENT OF NEW YORK","2015","Battery","3","2","0","0","0","0","0","0","1","0"
