"state","fdid","fd_name","year","month","prop_use","property","casualties","tod","area_orig","room","fire_sprd","city","state_id","zip5","sup_fac","wkt"
"UT","11010","Layton FD","2018","12","419","1 or 2 family dwelling","No","20","21","Bedroom - < 5 persons; included are jail or prison","3","Layton","UT","84041",", , ","SRID=4326;POINT(41.065818 -111.966544)"
"UT","49010","Orem Fire Department","2018","9","419","1 or 2 family dwelling","No","16","21","Bedroom - < 5 persons; included are jail or prison","2","Orem","UT","84057",", , ","SRID=4326;POINT(40.314264 -111.668949)"
"UT","57010","Roy City Fire Rescue","2018","1","419","1 or 2 family dwelling","No","0","24","Cooking area, kitchen","2","Roy","UT","84067","NNN, , ","SRID=4326;POINT(41.175093 -112.054682)"
"UT","21002","Cedar City FD","2018","10","419","1 or 2 family dwelling","No","16","47","Vehicle storage area; garage, carport","1","CEDAR CITY","UT","84721",", , ","SRID=4326;POINT(37.73156 -113.057833)"
"VA","08700","Henrico Co Fire Rescue","2018","12","429","Multifamily dwellings","No","2","14","Common room, den, family room, living room, lounge","1","HENRICO","VA","23238",", , ","SRID=4326;POINT(37.598638 -77.615267)"
"WA","14D02","Central Park","2018","11","400","Residential, other","Yes","4","21","Bedroom - < 5 persons; included are jail or prison","4","Montesano","WA","98563",", , ","SRID=4326;POINT(47.170772 -123.622238)"
"VA","68300","Manassas Fire Rescue","2018","5","419","1 or 2 family dwelling","No","15","47","Vehicle storage area; garage, carport","4","Manassas","VA","20110",", , ","SRID=4326;POINT(38.736332 -77.464695)"
"UT","21002","Cedar City FD","2018","3","419","1 or 2 family dwelling","No","10","21","Bedroom - < 5 persons; included are jail or prison","1","CEDAR CITY","UT","84721",", , ","SRID=4326;POINT(37.68376 -113.070441)"
"WA","38M10","Pullman Fire Dept","2018","5","419","1 or 2 family dwelling","No","1","47","Vehicle storage area; garage, carport","2","Pullman","WA","99163","132, , ","SRID=4326;POINT(-117.20428 46.720889)"
"WA","17M08","Kent Fire Dept","2018","9","881","Parking garage, (detached residential garage)","No","16","47","Vehicle storage area; garage, carport","5","KENT","WA","98031",", , ","SRID=4326;POINT(-122.202485 47.404334)"
"WA","17D39","King39 South King","2018","5","419","1 or 2 family dwelling","No","2","24","Cooking area, kitchen","2","DES MOINES","WA","98198",", , ","SRID=4326;POINT(47.423299 -122.327524)"
"WA","31D08","Snohomish8 Lake Stevens","2018","7","419","1 or 2 family dwelling","No","18","80","Vehicle area, other","1","LAKE STEVENS","WA","98258","NNN, , ","SRID=4326;POINT(48.018505 -122.097435)"
"WI","13010","City of Madison Fire Departmen","2018","12","311","24-hour care Nursing homes, 4 or more persons","No","16","21","Bedroom - < 5 persons; included are jail or prison","2","City of Madison","WI","53714","NNN, , ","SRID=4326;POINT(-89.313901 43.09531)"
"WI","13010","City of Madison Fire Departmen","2018","9","592","Bank","No","19","01","Corridor, mall","1","City of Madison","WI","53719","NNN, , ","SRID=4326;POINT(-89.476841 43.0601)"
"WI","05040","Green Bay Fire Department","2018","2","419","1 or 2 family dwelling","No","6","71","Substructure area or space, crawl space","2","City of Green Bay","WI","54303","NNN, , ","SRID=4326;POINT(44.518601 -88.035723)"
"AK","25150","Central MatSu FD","2022","9","965","Vehicle parking area","No","15","46","Chute/container - trash, rubbish, waste",NULL,"wasilla","ak","99654","","SRID=4326;POINT(-149.495266 61.57894)"
"AK","25150","Central MatSu FD","2022","5","419","1 or 2 family dwelling","No","15","21","Bedroom - < 5 persons; included are jail or prison","2","wasilla","ak","99654","","SRID=4326;POINT(-149.46952 61.598567)"
"WI","70030","OSHKOSH FIRE DEPT","2018","4","429","Multifamily dwellings","No","9","21","Bedroom - < 5 persons; included are jail or prison","1","Oshkosh","WI","54901","NNN, , ","SRID=4326;POINT(44.023198 -88.541601)"
"AK","25150","Central MatSu FD","2022","10","429","Multifamily dwellings","No","4","21","Bedroom - < 5 persons; included are jail or prison","2","palmer","ak","99654","","SRID=4326;POINT(-149.294349 61.560292)"
"AL","00528","SPANISH FORT FIRERESCUE","2022","8","419","1 or 2 family dwelling","Yes","17","47","Vehicle storage area; garage, carport","2","spanish fort","al","36527","","SRID=4326;POINT(-87.906631 30.674843)"
"AK","31300","University FD","2022","4","593","Office:  veterinary or research","No","14","27","Office","2","fairbanks","ak","99775","424","SRID=4326;POINT(64.859108 -147.850878)"
"AL","00313","TempFD","2022","7","419","1 or 2 family dwelling","No","4","00","Other","1","montgomery","al","36111","NNN","SRID=4326;POINT(-86.275061 32.340855)"
"AR","26006","MORNING STAR","2022","6","419","1 or 2 family dwelling","No","7","24","Cooking area, kitchen","2","hot springs","ar","71901","","SRID=4326;POINT(-92.925472 34.505975)"
"AL","04702","Madison FD","2022","9","419","1 or 2 family dwelling","No","19","21","Bedroom - < 5 persons; included are jail or prison","1","madison","al","35758","","SRID=4326;POINT(-86.728773 34.670503)"
"AZ","08140","Lake Havasu City Fire Departme","2022","4","429","Multifamily dwellings","No","18","47","Vehicle storage area; garage, carport","1","lake havasu city","az","86403","NNN","SRID=4326;POINT(34.470619 -114.348049)"
"AR","72300","SPRINGDALE","2022","4","419","1 or 2 family dwelling","Yes","12","24","Cooking area, kitchen","2","springdale","ar","72762","NNN","SRID=4326;POINT(-94.191728 36.220371)"
"AZ","08113","Gilbert Fire Dept","2022","4","419","1 or 2 family dwelling","No","16","47","Vehicle storage area; garage, carport","2","gilbert","az","85295","NNN","SRID=4326;POINT(-111.767966 33.292686)"
"AR","60012","RUNYAN ACRES VOL10","2022","8","579","Motor vehicle or boat sales, services, repair","No","21","65","Maintenance shop or area, paint shop or area","4","sherwood","ar","72120","","SRID=4326;POINT(-92.245246 34.893921)"
"CA","04010","CHICO FD","2022","9","419","1 or 2 family dwelling","No","5","47","Vehicle storage area; garage, carport","2","chico","ca","95928","","SRID=4326;POINT(-121.783966 39.753448)"
"CA","30040","HUNTINGTON BEACH FD","2022","1","559","Recreational, hobby, home repair sales, pet store","No","23","60","Equipment or service area, other","1","huntington beach","ca","92649","","SRID=4326;POINT(-118.043191 33.715522)"
"CA","16010","HANFORD FD","2022","8","891","Warehouse","No","10","UU","Undetermined","1","hanford","ca","93230","","SRID=4326;POINT(-119.653062 36.280993)"
"CA","19105","LOS ANGELES CITY FD","2022","4","210","Schools, non-adult","No","3","20","Function area, other","4","los angeles","ca","90089","","SRID=4326;POINT(-118.28755 34.02309)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","5","429","Multifamily dwellings","No","21","14","Common room, den, family room, living room, lounge","2","tustin","ca","92780","","SRID=4326;POINT(-117.841101 33.73528)"
"CA","24035","MERCED CFD","2022","4","808","Outbuilding or shed","No","10","40","Storage area, other","4","losbanos","ca","93635","NNN","SRID=4326;POINT(-120.944669 37.070972)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","4","419","1 or 2 family dwelling","No","2","47","Vehicle storage area; garage, carport","2","san clemente","ca","92672","","SRID=4326;POINT(-117.602235 33.44342)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","1","429","Multifamily dwellings","No","8","47","Vehicle storage area; garage, carport",NULL,"san clemente","ca","92672","","SRID=4326;POINT(-117.59842 33.396854)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","7","899","Residential or self storage units","No","14","41","Storage room, area, tank, or bin",NULL,"buena park","ca","90620","","SRID=4326;POINT(-118.005774 33.857149)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","5","419","1 or 2 family dwelling","No","16","41","Storage room, area, tank, or bin","2","emerald bay unc","ca","92651","","SRID=4326;POINT(-117.811671 33.553954)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","6","419","1 or 2 family dwelling","No","3","47","Vehicle storage area; garage, carport","2","irvine","ca","92618","","SRID=4326;POINT(-117.736519 33.682404)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","11","429","Multifamily dwellings","No","18","14","Common room, den, family room, living room, lounge","4","santa ana","ca","92704","","SRID=4326;POINT(-117.936775 33.737726)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","9","419","1 or 2 family dwelling","Yes","3","47","Vehicle storage area; garage, carport","2","westminster","ca","92683","","SRID=4326;POINT(-117.980323 33.740023)"
"CA","30065","ORANGE COUNTY FIRE AUTHORITY","2022","8","419","1 or 2 family dwelling","No","18","21","Bedroom - < 5 persons; included are jail or prison","2","santa ana","ca","92704","","SRID=4326;POINT(-117.907665 33.722593)"
"CA","33090","RIVERSIDE CFD","2022","4","419","1 or 2 family dwelling","No","22","24","Cooking area, kitchen","2","mead valley","ca","92570","NNN","SRID=4326;POINT(-117.289185 33.82479)"
"CA","30555","CDFORANGE","2022","4","419","1 or 2 family dwelling","No","2","47","Vehicle storage area; garage, carport","2","san clemente","ca","92672","","SRID=4326;POINT(-117.602235 33.44342)"
"CA","33054","MORENO VALLEY FD","2022","9","599","Business office","No","18","27","Office","1","moreno valley","ca","92553","NNN","SRID=4326;POINT(-117.226723 33.931535)"
