"state","fdid","fd_name","year","month","prop_use","property","casualties","tod","area_orig","room","fire_sprd","city","state_id","zip5","sup_fac","wkt"
"CA","31040","FORESTHILL FPD","2022","9","419","1 or 2 family dwelling","No","14","70","Structural area, other","5","foresthill","ca","95631","","SRID=4326;POINT(-120.830629 39.016376)"
"CA","37140","SAN DIEGO FIRE RESCUE","2022","3","331","Hospital - medical or psychiatric","No","1","20","Function area, other","1","san diego","ca","92037","NNN","SRID=4326;POINT(-117.225642 32.878012)"
"CA","33090","RIVERSIDE CFD","2022","9","419","1 or 2 family dwelling","No","21","47","Vehicle storage area; garage, carport","3","hemet","ca","92544","NNN","SRID=4326;POINT(-116.924066 33.742168)"
"CA","37115","OCEANSIDE FD","2022","5","631","Defense, military installation","No","18","46","Chute/container - trash, rubbish, waste","2","camp pendleton","ca","92055","412","SRID=4326;POINT(-117.318011 33.293712)"
"CA","33105","PALM DESERT CFD","2022","4","429","Multifamily dwellings","No","8","47","Vehicle storage area; garage, carport","2","palm desert","ca","92260","NNN","SRID=4326;POINT(-116.385087 33.759116)"
"CA","37047","SAN DIEGO CO FIRE AUTHORITY","2022","1","419","1 or 2 family dwelling","No","12","21","Bedroom - < 5 persons; included are jail or prison","1","descanso","ca","91916","NNN","SRID=4326;POINT(-116.651385 32.865812)"
"CA","37555","CDFSAN DIEGO","2022","1","936","Vacant lot","No","9","90","Outside area, other",NULL,"otaymesa","ca","92154","NNN","SRID=4326;POINT(-116.993952 32.568231)"
"CA","37140","SAN DIEGO FIRE RESCUE","2022","4","429","Multifamily dwellings","No","12","21","Bedroom - < 5 persons; included are jail or prison","1","san diego","ca","92093","NNN","SRID=4326;POINT(-117.229723 32.877977)"
"CA","37175","VALLEY CENTER FPD","2022","4","610","Energy production plant, other","No","17","UU","Undetermined","1","valley center","ca","92082","NNN","SRID=4326;POINT(-117.018868 33.226979)"
"CA","48060","VACAVILLE FD","2022","9","419","1 or 2 family dwelling","No","18","47","Vehicle storage area; garage, carport","2","city of vacaville","ca","95688","NNN","SRID=4326;POINT(-122.006241 38.367763)"
"CA","38005","SAN FRANCISCO FD","2022","2","891","Warehouse","No","5","80","Vehicle area, other","1","san francisco","ca","94124","","SRID=4326;POINT(-122.389 37.740673)"
"CA","41070","REDWOOD CITY FD","2022","11","419","1 or 2 family dwelling","No","3","21","Bedroom - < 5 persons; included are jail or prison","2","redwood city","ca","94062","NNN","SRID=4326;POINT(-122.250714 37.470832)"
"CA","37555","CDFSAN DIEGO","2022","12","419","1 or 2 family dwelling","No","16","14","Common room, den, family room, living room, lounge","2","deersprings","ca","92026","NNN","SRID=4326;POINT(-117.09509 33.179045)"
"CA","45055","REDDING FD","2022","3","419","1 or 2 family dwelling","No","21","21","Bedroom - < 5 persons; included are jail or prison","2","redding","ca","96003","","SRID=4326;POINT(-122.354624 40.615216)"
"CO","00190","WESTMINSTER FD","2022","11","808","Outbuilding or shed","No","18","43","Storage: supplies or tools; dead storage","2","westminster","co","80020","NNN","SRID=4326;POINT(-105.070795 39.902872)"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2022","11","419","1 or 2 family dwelling","No","0","24","Cooking area, kitchen","2","parker","co","80134","NNN","SRID=4326;POINT(-104.785243 39.483692)"
"CO","04118","COLORADO SPRINGS FD","2022","7","429","Multifamily dwellings","No","5","14","Common room, den, family room, living room, lounge","2","colorado springs","co","80910","","SRID=4326;POINT(-104.772059 38.804094)"
"CO","10145","PUEBLO FD","2022","6","419","1 or 2 family dwelling","No","7","47","Vehicle storage area; garage, carport","2","pueblo","co","81001","NNN","SRID=4326;POINT(-104.589342 38.305399)"
"CO","04155","TRILAKES MONUMENT FPD","2022","2","881","Parking garage, (detached residential garage)","No","10","83","Engine area, running gear, wheel area","5","donald wescott","co","80921","","SRID=4326;POINT(-104.797221 39.035408)"
"CO","11945","FLORISSANT FIRE PROT DIST","2022","6","419","1 or 2 family dwelling","No","4","47","Vehicle storage area; garage, carport","1","divide","co","80814","","SRID=4326;POINT(-105.215494 38.97466)"
"CO","06960","POUDRE FIRE AUTHORITY","2022","12","419","1 or 2 family dwelling","No","22","47","Vehicle storage area; garage, carport","2","timnath","co","80547","NNN","SRID=4326;POINT(-104.967327 40.518281)"
"FL","01032","MIAMIDADE FIRE RESCUE","2022","9","891","Warehouse","No","20","65","Maintenance shop or area, paint shop or area","4","miamidade","fl","33186","","SRID=4326;POINT(-80.42213 25.635873)"
"CT","04100","PUTNAM FIRE DEPT","2022","8","419","1 or 2 family dwelling","No","15","14","Common room, den, family room, living room, lounge","2","putnam district","ct","06260","","SRID=4326;POINT(-71.907474 41.926135)"
"CT","05140","NORWALK FIRE DEPT","2022","12","419","1 or 2 family dwelling","No","18","21","Bedroom - < 5 persons; included are jail or prison","2","norwalk","ct","06851","","SRID=4326;POINT(-73.396721 41.131002)"
"FL","01032","MIAMIDADE FIRE RESCUE","2022","11","419","1 or 2 family dwelling","No","6","40","Storage area, other","4","miamidade","fl","33165","","SRID=4326;POINT(-80.352896 25.728569)"
"FL","01032","MIAMIDADE FIRE RESCUE","2022","10","429","Multifamily dwellings","No","13","21","Bedroom - < 5 persons; included are jail or prison","2","homestead","fl","33030","","SRID=4326;POINT(-80.467789 25.481183)"
"FL","01032","MIAMIDADE FIRE RESCUE","2022","1","429","Multifamily dwellings","No","3","14","Common room, den, family room, living room, lounge","2","miamidade","fl","33147","","SRID=4326;POINT(-80.221378 25.860664)"
"FL","04022","CLEARWATER FIRE DEPARTMENT","2022","7","965","Vehicle parking area","No","1","00","Other",NULL,"clearwater","fl","33765","177","SRID=4326;POINT(-82.758498 27.967641)"
"FL","02072","JACKSONVILLE FIRE RESCUE","2022","10","419","1 or 2 family dwelling","No","19","80","Vehicle area, other","2","jacksonville","fl","32216","","SRID=4326;POINT(-81.580123 30.300209)"
"FL","06032","BOYNTON BEACH FIRE RESCUE","2022","5","400","Residential, other","No","14","47","Vehicle storage area; garage, carport","1","boynton beach","fl","33426","","SRID=4326;POINT(-80.089826 26.561872)"
"FL","05032","LAKELAND FD","2022","4","419","1 or 2 family dwelling","No","0","85","Separate operator/control area of transportation","4","lakeland","fl","33811","","SRID=4326;POINT(-82.026527 27.986663)"
"FL","04022","CLEARWATER FIRE DEPARTMENT","2022","12","965","Vehicle parking area","No","14","43","Storage: supplies or tools; dead storage",NULL,"clearwater","fl","33767","NNN","SRID=4326;POINT(-82.826827 27.980878)"
"FL","07252","ORANGE COUNTY FIRE RESCUE","2022","6","449","Hotel/motel, commercial","No","13","73","Ceiling & floor assembly, crawl space b/t stories","1","orlando","fl","32819","","SRID=4326;POINT(-81.473025 28.447047)"
"FL","07252","ORANGE COUNTY FIRE RESCUE","2022","3","419","1 or 2 family dwelling","No","1","21","Bedroom - < 5 persons; included are jail or prison","4","orlando","fl","32825","","SRID=4326;POINT(-81.270398 28.562381)"
"FL","07252","ORANGE COUNTY FIRE RESCUE","2022","6","419","1 or 2 family dwelling","No","17","14","Common room, den, family room, living room, lounge","1","apopka","fl","32712","","SRID=4326;POINT(-81.474527 28.699643)"
"FL","10082","PEMBROKE PINES FIRE RESCUE","2022","1","419","1 or 2 family dwelling","No","11","93","Courtyard, patio, porch, terrace","4","pembroke pines","fl","33023","183","SRID=4326;POINT(-80.224506 26.000413)"
"FL","07252","ORANGE COUNTY FIRE RESCUE","2022","11","429","Multifamily dwellings","No","16","14","Common room, den, family room, living room, lounge","1","orlando","fl","32806","","SRID=4326;POINT(-81.359586 28.507698)"
"FL","07252","ORANGE COUNTY FIRE RESCUE","2022","11","419","1 or 2 family dwelling","No","7","21","Bedroom - < 5 persons; included are jail or prison","2","winter garden","fl","34787","","SRID=4326;POINT(-81.627049 28.466399)"
"FL","12041","GROVELAND FIRE DEPARTMENT","2022","2","419","1 or 2 family dwelling","No","15","93","Courtyard, patio, porch, terrace","4","groveland","fl","34736","","SRID=4326;POINT(-81.867581 28.567432)"
"FL","10232","MIRAMAR FIRE RESCUE","2022","11","419","1 or 2 family dwelling","No","23","47","Vehicle storage area; garage, carport","2","miramar","fl","33029","","SRID=4326;POINT(-80.405487 25.97926)"
"FL","33101","STATION 35","2022","4","808","Outbuilding or shed","No","22","40","Storage area, other","4","gulf breeze","fl","32563","","SRID=4326;POINT(-87.019594 30.394404)"
"FL","26012","KISSIMMEE FD                 ","2022","9","429","Multifamily dwellings","No","20","21","Bedroom - < 5 persons; included are jail or prison","2","kissimmee","fl","34741","","SRID=4326;POINT(-81.435058 28.339362)"
"FL","18022","CAPE CORAL FIRE RESCUE EMS","2022","11","419","1 or 2 family dwelling","No","22","47","Vehicle storage area; garage, carport","1","cape coral","fl","33991","NNN","SRID=4326;POINT(-81.981299 26.617934)"
"GA","04405","Dekalb County Fire Rescue","2022","6","419","1 or 2 family dwelling","No","16","47","Vehicle storage area; garage, carport",NULL,"lithonia","ga","30038","NNN","SRID=4326;POINT(-84.126163 33.661478)"
"FL","38012","KEY WEST FD                  ","2022","7","419","1 or 2 family dwelling","No","4","90","Outside area, other","1","key west","fl","33040","","SRID=4326;POINT(-81.778497 24.555111)"
"GA","02507","Pooler FD","2022","4","557","Personal service, including barber & beauty shops","No","19","01","Corridor, mall","2","pooler","ga","31322","NNN","SRID=4326;POINT(-81.251827 32.142774)"
"FL","26012","KISSIMMEE FD                 ","2022","10","429","Multifamily dwellings","No","20","21","Bedroom - < 5 persons; included are jail or prison","2","kissimmee","fl","34744","","SRID=4326;POINT(-81.393022 28.337913)"
"GA","00801","Bartow County Fire Department","2022","10","419","1 or 2 family dwelling","No","20","70","Structural area, other","1","cartersville","ga","30120","NNN","SRID=4326;POINT(-84.888101 34.23159)"
"GA","12104","HEPHZIBAH FIRE DEPARTMENT","2022","10","419","1 or 2 family dwelling","No","18","47","Vehicle storage area; garage, carport","4","hephzibah","ga","30815","134, 183, 185","SRID=4326;POINT(-82.133913 33.29155)"
"GA","05801","FORSYTH COUNTY VOL  FIRE DEPT","2022","6","419","1 or 2 family dwelling","No","3","14","Common room, den, family room, living room, lounge","1","cumming","ga","30028","","SRID=4326;POINT(-84.190575 34.284101)"
"GA","10706","Newton County FD","2022","10","460","Dormitory type residence, other","No","0","00","Other","1","oxford","ga","30054","","SRID=4326;POINT(-83.86901 33.618675)"
"GA","05801","FORSYTH COUNTY VOL  FIRE DEPT","2022","11","419","1 or 2 family dwelling","No","20","21","Bedroom - < 5 persons; included are jail or prison","2","cumming","ga","30028","","SRID=4326;POINT(-84.207166 34.294216)"
"HI","52000","Honolulu Fire Department","2022","5","891","Warehouse","No","23","43","Storage: supplies or tools; dead storage","4","kaneohe","hi","96744","","SRID=4326;POINT(-157.799853 21.398254)"
"HI","52000","Honolulu Fire Department","2022","7","429","Multifamily dwellings","No","19","14","Common room, den, family room, living room, lounge","3","radford terrace","hi","96818","NNN","SRID=4326;POINT(-157.903333 21.336707)"
"ID","01100","Boise City Fire Department","2022","7","419","1 or 2 family dwelling","No","17","00","Other","1","boise","id","83709","","SRID=4326;POINT(-116.311467 43.600081)"
"HI","54000","Maui Fire Department","2022","11","807","Outside material storage area","No","16","43","Storage: supplies or tools; dead storage","2","kahului","oo","96732","","SRID=4326;POINT(-156.458909 20.873636)"
"HI","54000","Maui Fire Department","2022","10","449","Hotel/motel, commercial","No","14","14","Common room, den, family room, living room, lounge","2","kaanapali","oo","96761","","SRID=4326;POINT(-156.691411 20.93739)"
"IL","CS931","CHICAGO FD","2022","5","419","1 or 2 family dwelling","No","15","14","Common room, den, family room, living room, lounge","2","chicago","il","60625","","SRID=4326;POINT(-87.7254375264199 41.962179663162)"
"IL","CD194","CORNBELT FPD","2022","8","419","1 or 2 family dwelling","No","23","47","Vehicle storage area; garage, carport","1","mahomet","il","61853","","SRID=4326;POINT(-88.4167 40.201357)"
"ID","31334","DECLO FIRE PROT DIST","2022","5","419","1 or 2 family dwelling","No","20","47","Vehicle storage area; garage, carport","2","declo","id","83323","NNN","SRID=4326;POINT(-113.630141 42.503261)"
"IL","HE153","CAMBRIDGE FPD","2022","7","881","Parking garage, (detached residential garage)","No","13","76","Wall surface: exterior","4","cambridge","il","61238","NNN","SRID=4326;POINT(-90.146692 41.317032)"
"IL","DD392","WOOD DALE FPD","2022","5","419","1 or 2 family dwelling","No","18","21","Bedroom - < 5 persons; included are jail or prison","2","wood dale","il","60191","NNN","SRID=4326;POINT(-87.964893 41.950036)"
"IL","MJ213","MCHENRY TWP FPD","2022","8","881","Parking garage, (detached residential garage)","No","18","42","Closet","4","mchenry","il","60050","NNN","SRID=4326;POINT(-88.266424 42.348418)"
"IL","SH141","FREEPORT FD","2022","9","419","1 or 2 family dwelling","No","12","21","Bedroom - < 5 persons; included are jail or prison","2","city of freeport","il","61032","NNN","SRID=4326;POINT(-89.647482 42.287594)"
"IL","KB233","LIMESTONE FPD","2022","10","419","1 or 2 family dwelling","No","19","14","Common room, den, family room, living room, lounge","2","kankakee","il","60901","NNN","SRID=4326;POINT(-87.913201 41.138721)"
"IL","SH141","FREEPORT FD","2022","11","429","Multifamily dwellings","No","4","20","Function area, other","2","city of freeport","il","61032","NNN","SRID=4326;POINT(-89.653171 42.305223)"
"IN","09010","Royal Center Fire Department","2022","12","419","1 or 2 family dwelling","No","18","24","Cooking area, kitchen","2","town of royal center","in","46978","NNN","SRID=4326;POINT(-86.495403 40.865116)"
"IL","WJ134","BLACKHAWK FPD","2022","6","919","Dump, sanitary landfill","No","6","45","Shipping/receiving area; loading area, dock or bay",NULL,"winnebagocounty","il","61109","","SRID=4326;POINT(-89.0611 42.159575)"
"KY","04012","WICKLIFFE","2022","10","419","1 or 2 family dwelling","No","9","21","Bedroom - < 5 persons; included are jail or prison","4","wickliffe","ky","42087","100","SRID=4326;POINT(-89.080377 36.96487)"
"KS","DG101","LAWRENCEDG CO FIRE MEDICAL","2022","12","429","Multifamily dwellings","No","8","14","Common room, den, family room, living room, lounge","2","lawrence","ks","66044","","SRID=4326;POINT(-95.238047 38.956889)"
"IN","20006","Elkhart","2022","2","881","Parking garage, (detached residential garage)","No","15","47","Vehicle storage area; garage, carport","5","elkhart","in","46516","NNN","SRID=4326;POINT(-85.948632 41.692465)"
"KS","SG202","Derby Fire Department","2022","9","419","1 or 2 family dwelling","No","19","21","Bedroom - < 5 persons; included are jail or prison","2","derby","ks","67037","","SRID=4326;POINT(-97.269498 37.562745)"
"LA","09005","CADDO PARISH FIRE DIST 1","2022","10","549","Specialty shop","No","22","65","Maintenance shop or area, paint shop or area","2","caddo parish","la","71060","","SRID=4326;POINT(-93.974914 32.565463)"
"KY","34155","LEXINGTON","2022","9","429","Multifamily dwellings","No","11","21","Bedroom - < 5 persons; included are jail or prison","2","lexington","ky","40504","NNN","SRID=4326;POINT(-84.513209 38.040837)"
"LA","36001","NEW ORLEANS FIRE DEPT","2022","1","449","Hotel/motel, commercial","No","8","21","Bedroom - < 5 persons; included are jail or prison","2","new orleans","la","70126","NNN","SRID=4326;POINT(-90.039717 30.002104)"
"LA","32020","LIVINGSTON PARISH FIRE DIST 4 ","2022","10","419","1 or 2 family dwelling","No","23","47","Vehicle storage area; garage, carport","4","denham springs","la","70726","NNN","SRID=4326;POINT(-90.901874 30.534664)"
"LA","30001","JENA VFD","2022","3","361","Jail, prison (not juvenile)","No","20","21","Bedroom - < 5 persons; included are jail or prison","2","jena","la","71342","NNN","SRID=4326;POINT(-92.14860704288 31.7107913363521)"
"MA","13339","WILBRAHAM","2022","3","579","Motor vehicle or boat sales, services, repair","Yes","3","83","Engine area, running gear, wheel area","3","wilbraham","ma","01095","","SRID=4326;POINT(-72.433917 42.151453)"
"LA","52001","ST TAMMANY FIRE DIST 1","2022","11","419","1 or 2 family dwelling","No","8","21","Bedroom - < 5 persons; included are jail or prison","2","slidell","la","70460","","SRID=4326;POINT(-89.834555 30.263687)"
"MA","13281","SPRINGFIELD","2022","8","581","Department or discount store","No","12","15","Sales area, showroom (exclude display window)","3","springfield","ma","01104","","SRID=4326;POINT(-72.580601 42.139048)"
"LA","53001","TANGIPAHOA 8TH WARD FD","2022","10","419","1 or 2 family dwelling","No","2","21","Bedroom - < 5 persons; included are jail or prison","2","ponchatoula","la","70454","","SRID=4326;POINT(-90.335725 30.487736)"
"MA","13061","CHICOPEE","2022","8","419","1 or 2 family dwelling","No","20","47","Vehicle storage area; garage, carport","4","chicopee","ma","01020","","SRID=4326;POINT(-72.615094 42.177797)"
"MA","17067","CONCORD","2022","5","419","1 or 2 family dwelling","No","17","00","Other","1","concord","ma","01742","NNN","SRID=4326;POINT(-71.330257 42.470426)"
"MA","15214","NORTHAMPTON","2022","11","419","1 or 2 family dwelling","No","13","26","Laundry area, wash house (laundry)","3","leeds","ma","01053","","SRID=4326;POINT(-72.704855 42.343327)"
"MA","17093","EVERETT","2022","1","144","Casino, gambling clubs","No","11","38","Processing/manufacturing area, workroom","1","everett","ma","02149","","SRID=4326;POINT(-71.068128 42.395139)"
"MA","17274","SOMERVILLE","2022","10","429","Multifamily dwellings","No","15","21","Bedroom - < 5 persons; included are jail or prison","1","somerville","ma","02143","","SRID=4326;POINT(-71.096793 42.377531)"
"MA","17274","SOMERVILLE","2022","5","429","Multifamily dwellings","No","19","05","Entrance way, lobby","3","somerville","ma","02144","","SRID=4326;POINT(-71.096834 42.39733)"
"MA","17274","SOMERVILLE","2022","1","808","Outbuilding or shed","No","6","77","Roof surface: exterior","4","somerville","ma","02143","","SRID=4326;POINT(-71.096209 42.377383)"
"MA","23231","PEMBROKE","2022","11","881","Parking garage, (detached residential garage)","No","21","65","Maintenance shop or area, paint shop or area","2","pembroke","ma","02359","","SRID=4326;POINT(-70.790198 42.067229)"
"MA","21285","STOUGHTON","2022","12","215","High school/junior high school/middle school","No","9","12","Assembly area without fixed seats - 100+ persons","1","stoughton","ma","02072","","SRID=4326;POINT(-71.108747 42.129661)"
"MI","02519","Forest Township","2022","12","419","1 or 2 family dwelling","No","11","90","Outside area, other","1","otisville","mi","48463","NNN","SRID=4326;POINT(-83.530728 43.16225)"
"MA","27282","STERLING","2022","9","419","1 or 2 family dwelling","No","13","21","Bedroom - < 5 persons; included are jail or prison","2","sterling","ma","01564","","SRID=4326;POINT(-71.820855 42.424866)"
"MA","27103","GARDNER","2022","2","419","1 or 2 family dwelling","No","9","UU","Undetermined","2","gardner","ma","01440","","SRID=4326;POINT(-71.958534 42.595802)"
"MI","04706","HOWELL AREA FIRE DEPARTMENT","2022","3","419","1 or 2 family dwelling","No","16","40","Storage area, other","4","howell","mi","48843","","SRID=4326;POINT(-83.802904 42.618753)"
"MI","04701","Brighton Area FD","2022","2","700","Manufacturing, processing","No","6","65","Maintenance shop or area, paint shop or area","1","milford","mi","48380","","SRID=4326;POINT(-83.673494 42.563542)"
